Martian Runtime - v4.0.13
Serving UI at http://c0703a-s22.ufhpc:40287?auth=g1iBP0wCL0jvgNrNq87stnsM7rO-6FgUqL8VlDYUF_M

Running preflight checks (please wait)...
2025-09-11 14:22:47 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.CHECK_SINGLE_BEAM_MODE
2025-09-11 14:22:47 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.CHECK_SINGLE_BEAM_MODE.fork0.chnk0.main
2025-09-11 14:22:47 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.DETECT_CHEMISTRY.fork0
2025-09-11 14:22:47 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.DETECT_CHEMISTRY.fork0.chnk0.main
2025-09-11 14:22:47 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.DETECT_CHEMISTRY.fork1
2025-09-11 14:22:47 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.DETECT_CHEMISTRY.fork1.chnk0.main
2025-09-11 14:22:49 [runtime] (chunks_complete) ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.CHECK_SINGLE_BEAM_MODE
2025-09-11 14:22:53 [runtime] (chunks_complete) ID.YL_hashing.SC_MULTI_CS.CELL_ANNOTATION_PREFLIGHT
2025-09-11 14:22:56 [runtime] (chunks_complete) ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.DETECT_CHEMISTRY.fork0
2025-09-11 14:22:56 [runtime] (chunks_complete) ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.DETECT_CHEMISTRY.fork1
2025-09-11 14:22:56 [runtime] (chunks_complete) ID.YL_hashing.SC_MULTI_CS.FULL_COUNT_INPUTS.WRITE_GENE_INDEX
2025-09-11 14:22:58 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.EXTRACT_SINGLE_CHEMISTRY.fork0
2025-09-11 14:22:58 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.EXTRACT_SINGLE_CHEMISTRY.fork0.chnk0.main
