Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BCR-AT_S7_L002_R1_001	(1, 0.004570901705044284)	(2, 0.020382490256166858)	(3, 0.0035307883578760435)	(4, 0.02268659785034224)	(5, 0.0008302250035692679)	(6, 2.332092706655247e-05)	(7, 0.0)	(8, 0.001142725426261071)	(9, 0.5240072386291941)	(10, 0.1265272233810391)	(15, 0.061059784082730335)	(20, 0.15430058184313777)	(25, 0.00715579326110096)	(30, 0.1829358817696162)	(35, 0.17769053885380723)	(40, 0.0007938443573454461)	(45, 0.06945158647835857)	(50, 0.1672623531067276)	(55, 0.05846836266709503)	(60, 0.025451526963352702)	(65, 0.05241798134894866)	(70, 0.015145542874101834)	(75, 0.06404766125849704)	(80, 0.07553741560564611)	(85, 0.06322583178867174)	(90, 0.08229582026953301)	(95, 0.09685740712988837)	(100, 0.01709050819145231)	(105, 0.06548423036579668)	(110, 0.1564507713186739)	(115, 0.02751776110144925)	(120, 0.08879956040985316)	(125, 0.08265962673177123)	(130, 0.032642768033594824)	(135, 0.023518688528076835)	(140, 0.000397388597214054)	(145, 0.04249166195234126)	(150, 0.0006926315338766084)
BCR-AT_S7_L002_R2_001	(1, 0.05207096595419835)	(2, 0.040792965624813576)	(3, 0.08099824388755004)	(4, 0.0011660463533276235)	(5, 9.328370826620988e-06)	(6, 0.0012966435449003172)	(7, 0.14604497366157818)	(8, 0.29495842135234235)	(9, 0.00017723904570579875)	(10, 0.1768593810131553)	(15, 0.07218853047888918)	(20, 0.03879203008250338)	(25, 0.034583069165531985)	(30, 0.05839093718923407)	(35, 0.05640119569191582)	(40, 0.07198890334319949)	(45, 8.955235993556148e-05)	(50, 0.0001296643544900317)	(55, 0.04041050242092212)	(60, 0.007055046856173453)	(65, 0.08189843167231896)	(70, 0.00572015699088399)	(75, 0.05457003649865012)	(80, 0.021860104195103622)	(85, 0.01575281981491486)	(90, 0.07818574008332381)	(95, 0.06626221649273686)	(100, 0.008401130766454861)	(105, 0.0469627500895407)	(110, 0.059411460957666404)	(115, 0.0002126868548469585)	(120, 0.09219881873907386)	(125, 0.024042942968532932)	(130, 0.04431722412311099)	(135, 0.04879857346821971)	(140, 0.0002500003381534424)	(145, 0.04899913344099206)	(150, 0.18529176182187934)
BCR-AT_S7_L003_R1_001	(1, 0.0022927416797269627)	(2, 0.02126914451319038)	(3, 0.005825582632765365)	(4, 0.022922610210938964)	(5, 0.0004566257014131268)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.05720029996943972)	(15, 0.10549015019909361)	(20, 0.1287607572603727)	(25, 0.01794010282057215)	(30, 0.13462767653558175)	(35, 0.06736238478973058)	(40, 0.16622425243883787)	(45, 0.14832067967437876)	(50, 0.10753871729322281)	(55, 0.0634152160949889)	(60, 0.07418389211020963)	(65, 0.06616554479339513)	(70, 0.17452811098369383)	(75, 0.04735448852970658)	(80, 0.015251298427198433)	(85, 0.16047557518736313)	(90, 0.13038249948833888)	(95, 0.07843291442651705)	(100, 0.06689037801205934)	(105, 0.09020232171578213)	(110, 0.03370762861968395)	(115, 0.06449573670212229)	(120, 0.08442961153265408)	(125, 0.05741371240252122)	(130, 0.07384454711526472)	(135, 0.057336807021230604)	(140, 0.11122729164337475)	(145, 0.12324183483550372)	(150, 0.06578534381463957)
BCR-AT_S7_L003_R2_001	(1, 0.049935625389273416)	(2, 0.15073454732963848)	(3, 0.000956510679802234)	(4, 0.0013939100358927028)	(5, 0.00015381076258126375)	(6, 0.042706519547954014)	(7, 0.0792317690746735)	(8, 4.8065863306644916e-05)	(9, 0.04125012388976267)	(10, 0.030716970604744504)	(15, 0.021728654166401906)	(20, 0.061598326461997734)	(25, 0.11194155037211148)	(30, 0.08007196036527366)	(35, 0.07446748070371885)	(40, 0.060704301404494135)	(45, 0.05600249865583813)	(50, 0.07139991730748876)	(55, 0.07301012372826138)	(60, 0.08648683048217848)	(65, 0.0959433084291278)	(70, 0.16258855053832325)	(75, 0.056910943472333726)	(80, 0.17498762063690537)	(85, 0.15135651960082647)	(90, 0.10493066355020425)	(95, 0.07466647337780837)	(100, 0.21320286591748647)	(105, 0.08288861995504304)	(110, 0.10167660460434441)	(115, 0.11154933292752928)	(120, 0.08933425222446412)	(125, 0.21426512149656335)	(130, 0.09700460269093852)	(135, 0.09737086456933515)	(140, 0.14757758142765803)	(145, 0.11247027486848458)	(150, 0.16731246358410032)
BCR-AT_S7_L004_R1_001	(1, 0.004185563974176795)	(2, 0.018398715047536197)	(3, 0.0033233691480355075)	(4, 0.029419132552578466)	(5, 0.00022991862030434328)	(6, 1.5676269566205224e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.82172852191694e-05)	(15, 0.018896175335103776)	(20, 0.006085527845600867)	(25, 0.00016303320348853433)	(30, 4.493863942312164e-05)	(35, 0.00010032812522371343)	(40, 0.0006145097669952447)	(45, 0.0004316199553895171)	(50, 0.000769182293381803)	(55, 0.024691169651410973)	(60, 0.01563446618069534)	(65, 0.00025813590552351267)	(70, 0.000489099610465603)	(75, 0.047433256453423764)	(80, 0.023525900280323052)	(85, 0.00046610774843516866)	(90, 0.0005403087577152067)	(95, 0.00012227490261640075)	(100, 0.00103985921455828)	(105, 0.0006542229832296313)	(110, 8.256168638201417e-05)	(115, 0.001335618167040685)	(120, 0.00046715283307291564)	(125, 0.000561210450470147)	(130, 0.016455902705964497)	(135, 0.00015571761102430522)	(140, 0.0005288128266999895)	(145, 0.0001682586266772694)	(150, 0.001225361737758375)
BCR-AT_S7_L004_R2_001	(1, 0.0535292351454021)	(2, 0.02965950201926028)	(3, 0.0005068660493073022)	(4, 0.0005591202811946529)	(5, 0.0021371980841926454)	(6, 0.0007315592464229104)	(7, 9.405761739723133e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0004148986011855649)	(15, 8.46518556575082e-05)	(20, 0.016886477576716265)	(25, 0.0005779318046740992)	(30, 8.151660174426716e-05)	(35, 0.0003354721687167918)	(40, 4.807389333636269e-05)	(45, 0.008455779804011097)	(50, 0.009606417990170561)	(55, 0.00020692675827390893)	(60, 7.942643246877312e-05)	(65, 0.00014631184928458208)	(70, 2.4036946668181343e-05)	(75, 0.00040758300872133576)	(80, 5.9569824351579855e-05)	(85, 2.09016927549403e-06)	(90, 0.0007085673843924761)	(95, 0.00013272574899387087)	(100, 0.00044311588640473434)	(105, 0.00010346337913695447)	(110, 0.0002759023443652119)	(115, 0.0001243650718918948)	(120, 0.0001745291345037515)	(125, 6.897558609130298e-05)	(130, 0.00018602506551896865)	(135, 5.747965507608582e-05)	(140, 0.00010032812522371343)	(145, 0.00014944710319782312)	(150, 0.019574435265001588)
BCR-YL_S6_L001_R1_001	(1, 0.004508104566825675)	(2, 0.018434492458397962)	(3, 0.00015230082996032685)	(4, 0.027450701592049313)	(5, 4.873626558730459e-05)	(6, 0.0)	(7, 0.0002619574275317622)	(8, 6.092033198413074e-06)	(9, 0.0)	(10, 0.008436247573162425)	(15, 0.013222148853835736)	(20, 0.007962287390325888)	(25, 0.0006372266725540076)	(30, 2.802335271270014e-05)	(35, 0.04738505262389657)	(40, 0.0001413351702031833)	(45, 0.00019738187562858358)	(50, 0.0005044203488286025)	(55, 0.00011331181749048318)	(60, 0.00048736265587304595)	(65, 0.00015961126979842255)	(70, 0.00044959205004288484)	(75, 0.020070812575491714)	(80, 0.001167233560815945)	(85, 0.0013512129634080199)	(90, 0.007859941232592548)	(95, 0.018231018549570963)	(100, 0.016112209403162898)	(105, 0.0002046923154666793)	(110, 0.0004154766641317716)	(115, 0.01641559265644387)	(120, 0.00022540522834128373)	(125, 0.03302734878187664)	(130, 0.006975378012182969)	(135, 0.0286569241653351)	(140, 0.0004763969961159024)	(145, 0.017519469071996318)	(150, 0.00019189904575001184)
BCR-YL_S6_L001_R2_001	(1, 0.12223664612615832)	(2, 0.043606773634240786)	(3, 0.00032287775951589295)	(4, 0.00024368132793652298)	(5, 2.4368132793652296e-05)	(6, 0.0006823077182222643)	(7, 9.747253117460918e-05)	(8, 0.0)	(9, 0.0)	(10, 0.00023515248145874465)	(15, 7.310439838095689e-06)	(20, 5.604670542540028e-05)	(25, 8.041483821905258e-05)	(30, 0.02873977581683352)	(35, 0.00020103709554763146)	(40, 0.024648366320779297)	(45, 9.747253117460918e-05)	(50, 0.0003240961661555755)	(55, 0.04106395897722317)	(60, 0.00023515248145874465)	(65, 0.0010527033366857792)	(70, 0.014704949734329478)	(75, 0.008588548403122752)	(80, 0.01686762151976612)	(85, 0.0002314972615396968)	(90, 0.016026920938385116)	(95, 0.00033506182591271907)	(100, 0.00019616346898890098)	(105, 0.018753714997994806)	(110, 0.00048492584259368074)	(115, 0.00027170468064922307)	(120, 0.0009564492121508526)	(125, 0.00018641621587144007)	(130, 0.0002790151204873188)	(135, 0.00030825687983970155)	(140, 0.00010600137765238749)	(145, 0.0020225550218731406)	(150, 3.9598215789684986e-05)
BCR-YL_S6_L002_R1_001	(1, 0.004850786347115341)	(2, 0.016990126669870827)	(3, 0.0030069925570128265)	(4, 0.023585711167351635)	(5, 0.0005815993834551558)	(6, 3.093613741782743e-05)	(7, 0.0)	(8, 0.0007424672980278584)	(9, 0.4955783597511447)	(10, 0.11290081478361284)	(15, 0.060519746907747446)	(20, 0.1512183145893339)	(25, 0.005473221431962029)	(30, 0.1833881851673843)	(35, 0.1778320548871425)	(40, 0.00075112941650485)	(45, 0.06739870642397555)	(50, 0.16341828974142833)	(55, 0.05900635106526733)	(60, 0.0253960939290429)	(65, 0.052545648126928246)	(70, 0.01285705871084908)	(75, 0.06305403528501587)	(80, 0.07489267635207007)	(85, 0.06329162482038478)	(90, 0.08099575754185906)	(95, 0.09640566631242727)	(100, 0.01640481494992553)	(105, 0.06516264241141499)	(110, 0.15282080650757737)	(115, 0.023349359077479433)	(120, 0.08681051393091391)	(125, 0.08278510373010621)	(130, 0.031167539725712783)	(135, 0.023122906551580936)	(140, 0.0003576217485500851)	(145, 0.04203231118685378)	(150, 0.0005259143361030663)
BCR-YL_S6_L002_R2_001	(1, 0.05293173112190274)	(2, 0.038496929402744455)	(3, 0.08232724889632237)	(4, 0.0010951392645910912)	(5, 6.1872274835654865e-06)	(6, 0.0012188838142624008)	(7, 0.1433642480216959)	(8, 0.2888383406152876)	(9, 0.000241301871859054)	(10, 0.17652160010612333)	(15, 0.06944296638454558)	(20, 0.03847836772029376)	(25, 0.03249284385269251)	(30, 0.05717121939364181)	(35, 0.05488689500670943)	(40, 0.07147361444465179)	(45, 5.197271086195009e-05)	(50, 6.682205682250725e-05)	(55, 0.03934086723150279)	(60, 0.005424961057590218)	(65, 0.08150434764100815)	(70, 0.004118218613061188)	(75, 0.053780618732647924)	(80, 0.020608417302259922)	(85, 0.015591813258585026)	(90, 0.07653229163521492)	(95, 0.06449813417968006)	(100, 0.008068144638569395)	(105, 0.046125780889980705)	(110, 0.05960156234918633)	(115, 0.00013735645013515378)	(120, 0.0940842185605935)	(125, 0.024029954100671637)	(130, 0.0439144657873544)	(135, 0.04923795631421413)	(140, 0.00015468068708913716)	(145, 0.04568525029315084)	(150, 0.185397177931298)
