Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BCR-AT_S7_L002_R1_001	(1, 37.52602725068984)	(2, 38.33904943248291)	(3, 38.399271808716534)	(4, 38.452253316947115)	(5, 38.53525398891631)	(6, 38.35578910064757)	(7, 38.52059687953869)	(8, 38.63818201992904)	(9, 38.477093742337615)	(10, 38.477528220537245)	(15, 39.10451296785802)	(20, 39.13287520771367)	(25, 39.006651734743485)	(30, 39.14660382702944)	(35, 39.010938811437754)	(40, 39.23525118574088)	(45, 39.1702205567349)	(50, 39.15590171274019)	(55, 39.1725532091438)	(60, 39.18689311659983)	(65, 39.077594386671514)	(70, 39.176310154523996)	(75, 39.15160510245094)	(80, 39.10817558475242)	(85, 39.10046882059682)	(90, 39.02994038564698)	(95, 39.006802331962106)	(100, 39.0155397691536)	(105, 38.944522620856155)	(110, 38.83411601629498)	(115, 38.81102658207887)	(120, 38.71426257059769)	(125, 38.599265325498806)	(130, 38.52735209389975)	(135, 38.41314729390259)	(140, 38.313438203811)	(145, 38.16879429547736)	(150, 37.98379452099072)
BCR-AT_S7_L002_R2_001	(1, 37.581212213393385)	(2, 38.49305076018993)	(3, 38.92612727881022)	(4, 39.112791150696985)	(5, 39.170239176163065)	(6, 39.18016101794168)	(7, 39.14248055652687)	(8, 39.138398741304265)	(9, 39.30309849766122)	(10, 39.220877658836386)	(15, 39.299721552795006)	(20, 39.35643258099556)	(25, 39.16687042160645)	(30, 39.130620521828135)	(35, 39.137693535126516)	(40, 39.113107792916324)	(45, 39.152926876626836)	(50, 39.12662973284806)	(55, 39.0578682779002)	(60, 39.051369929558206)	(65, 38.984913869519694)	(70, 38.96049277305459)	(75, 38.88780478294491)	(80, 38.91445711377128)	(85, 38.888157805810465)	(90, 38.77017716115381)	(95, 38.73062009272307)	(100, 38.705033434979924)	(105, 38.619001639507815)	(110, 38.53428034953966)	(115, 38.50495249270626)	(120, 38.36474049335235)	(125, 38.319456458220024)	(130, 38.189832439605446)	(135, 38.05931935262412)	(140, 37.966818555864656)	(145, 37.803717346446035)	(150, 37.404133569023955)
BCR-AT_S7_L003_R1_001	(1, 37.492366900577586)	(2, 38.335654786355406)	(3, 38.44925720456822)	(4, 38.479546292857805)	(5, 38.565732807826045)	(6, 38.362423146289515)	(7, 38.51837014809958)	(8, 38.61446822860855)	(9, 38.67949807318374)	(10, 38.51291521095194)	(15, 39.0708885349746)	(20, 39.136734057250095)	(25, 38.9829041067762)	(30, 39.153130419125674)	(35, 39.03468655721813)	(40, 39.155420353758984)	(45, 39.12361740226504)	(50, 39.16867816857141)	(55, 39.1621932184258)	(60, 39.15658500885325)	(65, 39.05726534269566)	(70, 39.09595126813609)	(75, 39.12633714184803)	(80, 39.11819661110669)	(85, 39.04705055846284)	(90, 38.9965327977899)	(95, 38.992026988405456)	(100, 38.97625752074546)	(105, 38.91880816269872)	(110, 38.863654584094256)	(115, 38.77071360407168)	(120, 38.67766982078066)	(125, 38.57368372834981)	(130, 38.462798434937035)	(135, 38.3394794640041)	(140, 38.18510142810409)	(145, 38.03144520688653)	(150, 37.80403956089719)
BCR-AT_S7_L003_R2_001	(1, 37.5550742026378)	(2, 38.463527382593604)	(3, 38.93844224112663)	(4, 39.102036233393605)	(5, 39.157470593545156)	(6, 39.15654032682672)	(7, 39.167468485376396)	(8, 39.229566504553326)	(9, 39.26609540708566)	(10, 39.25463702438468)	(15, 39.299939177456565)	(20, 39.323990412590646)	(25, 39.10638034921388)	(30, 39.09355133958119)	(35, 39.09494940250767)	(40, 39.08297229300989)	(45, 39.09215508393116)	(50, 39.06611128804689)	(55, 39.01188893747814)	(60, 38.98443173604382)	(65, 38.947637798341205)	(70, 38.85689019824573)	(75, 38.85001105034197)	(80, 38.80245903034042)	(85, 38.791861853325486)	(90, 38.710925207305664)	(95, 38.67377817777121)	(100, 38.56675893710226)	(105, 38.55041650512531)	(110, 38.44541424266512)	(115, 38.39335848972443)	(120, 38.283136601357015)	(125, 38.14608821258724)	(130, 38.06437453382121)	(135, 37.91251941740713)	(140, 37.75386748029996)	(145, 37.57906381733511)	(150, 37.193317056950264)
BCR-AT_S7_L004_R1_001	(1, 37.4423281016048)	(2, 38.33139351690106)	(3, 38.42231264062267)	(4, 38.43668631669639)	(5, 38.47196962816829)	(6, 38.24712792452566)	(7, 38.417111045363676)	(8, 38.551163842830555)	(9, 38.59936210123881)	(10, 38.42091178827254)	(15, 39.049508585527064)	(20, 39.139462322765404)	(25, 38.90067346299141)	(30, 39.133558681450154)	(35, 38.990457144057494)	(40, 39.15166433386357)	(45, 39.109914895622694)	(50, 39.127937902742964)	(55, 39.09164738050058)	(60, 39.09955110479555)	(65, 38.99094714244075)	(70, 39.087796201807095)	(75, 39.05575221377666)	(80, 39.01945379069442)	(85, 39.01910203610704)	(90, 38.95449638782171)	(95, 38.92757759936326)	(100, 38.90631514339136)	(105, 38.86107349212838)	(110, 38.78627851944532)	(115, 38.6921320071488)	(120, 38.607907946436896)	(125, 38.47327863848046)	(130, 38.35828030486791)	(135, 38.22021427788362)	(140, 38.06326900593535)	(145, 37.889172013929304)	(150, 37.62429850000047)
BCR-AT_S7_L004_R2_001	(1, 37.27829193038942)	(2, 38.33107215337495)	(3, 38.815775824328796)	(4, 38.972276412763705)	(5, 39.04515476292621)	(6, 39.04621688244355)	(7, 39.07090826111189)	(8, 39.11365849330357)	(9, 39.19380707925703)	(10, 39.178454179779436)	(15, 39.22227746307376)	(20, 39.257463226345585)	(25, 39.03827421829497)	(30, 39.00319697661195)	(35, 39.00734380974945)	(40, 39.00165008413454)	(45, 39.003467590828045)	(50, 38.98033027391773)	(55, 38.93488409959114)	(60, 38.90804365067712)	(65, 38.87201030286239)	(70, 38.81579120797467)	(75, 38.748141813386965)	(80, 38.77051195456641)	(85, 38.73984735284764)	(90, 38.64776051425689)	(95, 38.593286125466804)	(100, 38.54887761567702)	(105, 38.47247342166877)	(110, 38.38310273714983)	(115, 38.31629735291557)	(120, 38.19386230152928)	(125, 38.10739837361838)	(130, 37.961497242596444)	(135, 37.80634613015087)	(140, 37.65094670559537)	(145, 37.451835152947616)	(150, 37.06819762508697)
BCR-YL_S6_L001_R1_001	(1, 37.63447691152924)	(2, 38.425578595422046)	(3, 38.47228536106963)	(4, 38.49251103312903)	(5, 38.5544104766888)	(6, 38.55979997661878)	(7, 38.58647199452741)	(8, 38.67840954801926)	(9, 38.802949348216416)	(10, 38.60931314701581)	(15, 39.18798953218119)	(20, 39.217520078275314)	(25, 39.06799648440948)	(30, 39.30406896035372)	(35, 39.151897427706)	(40, 39.31259939076013)	(45, 39.30197571337861)	(50, 39.29835933626324)	(55, 39.28598117768871)	(60, 39.28327638805301)	(65, 39.20326301482173)	(70, 39.28003291647378)	(75, 39.27209709287566)	(80, 39.17796336141578)	(85, 39.2203218287114)	(90, 39.149042847158015)	(95, 39.16640080424586)	(100, 39.14172960498465)	(105, 39.12616221829448)	(110, 39.04882626928578)	(115, 38.96216485517014)	(120, 38.91680674383202)	(125, 38.81068956881259)	(130, 38.74273605760529)	(135, 38.648654181531995)	(140, 38.5709773223455)	(145, 38.46243132679427)	(150, 38.287280608369926)
BCR-YL_S6_L001_R2_001	(1, 37.56531125629238)	(2, 38.7234899844842)	(3, 39.18258182925603)	(4, 39.26725706997206)	(5, 39.32833433273138)	(6, 39.411173800163404)	(7, 39.424454676217266)	(8, 39.45501085265254)	(9, 39.50318884431754)	(10, 39.464590867274644)	(15, 39.43777566221772)	(20, 39.53660598575159)	(25, 39.3888713052504)	(30, 39.38198048465902)	(35, 39.40350497819631)	(40, 39.388558564634124)	(45, 39.38843272759638)	(50, 39.3846374883863)	(55, 39.33311879629222)	(60, 39.305033256104636)	(65, 39.25167613460006)	(70, 39.196466742585585)	(75, 39.099541470937254)	(80, 39.178032128286524)	(85, 39.16216569587071)	(90, 39.02884091575199)	(95, 39.000765926965904)	(100, 38.94555573080304)	(105, 38.89654198528761)	(110, 38.80844056073267)	(115, 38.74781666708397)	(120, 38.60385319881393)	(125, 38.54435455243324)	(130, 38.43306319430521)	(135, 38.27229370715511)	(140, 38.19921406679707)	(145, 38.04002434132785)	(150, 37.701019763713184)
BCR-YL_S6_L002_R1_001	(1, 37.61299312821767)	(2, 38.42053273513568)	(3, 38.470218151741506)	(4, 38.494057291746586)	(5, 38.53351002405099)	(6, 38.52436592055303)	(7, 38.54725779603037)	(8, 38.62472361654831)	(9, 38.54871092827717)	(10, 38.517143644158196)	(15, 39.12522020342614)	(20, 39.11615490045741)	(25, 39.01413323625161)	(30, 39.18463619844864)	(35, 39.031973933458104)	(40, 39.26288799484827)	(45, 39.21271886079778)	(50, 39.171269906166984)	(55, 39.20515212907448)	(60, 39.214984252268614)	(65, 39.12121231545357)	(70, 39.2154483685766)	(75, 39.192004493412085)	(80, 39.0854173482929)	(85, 39.13140124368222)	(90, 39.04558442323408)	(95, 39.06947684764224)	(100, 39.07605263301178)	(105, 39.01294731798538)	(110, 38.91132403698279)	(115, 38.88201028960679)	(120, 38.795261598452896)	(125, 38.694183511187255)	(130, 38.628548585327565)	(135, 38.53445503642792)	(140, 38.43914438563554)	(145, 38.301246775835764)	(150, 38.118271699473)
BCR-YL_S6_L002_R2_001	(1, 37.40907015375508)	(2, 38.67455480423365)	(3, 39.09164595595387)	(4, 39.216108347757825)	(5, 39.26421107157335)	(6, 39.35652846545374)	(7, 39.309703032879916)	(8, 39.29665590254077)	(9, 39.45768864485364)	(10, 39.35033007621179)	(15, 39.35378744943179)	(20, 39.46662879258483)	(25, 39.29824010501458)	(30, 39.29539573754474)	(35, 39.31077228478472)	(40, 39.28728809364592)	(45, 39.31925861175445)	(50, 39.30744471959732)	(55, 39.25473424373023)	(60, 39.230690083755256)	(65, 39.14973726557214)	(70, 39.11557775587774)	(75, 38.99137750452781)	(80, 39.092776981137874)	(85, 39.06891036984276)	(90, 38.91074387303611)	(95, 38.87664663159911)	(100, 38.84872580237204)	(105, 38.77882203603342)	(110, 38.66320700829732)	(115, 38.634133820325886)	(120, 38.43462968948533)	(125, 38.4000172004924)	(130, 38.25517719972024)	(135, 38.07657753264258)	(140, 38.00934382720113)	(145, 37.79918637958591)	(150, 37.35070523256303)
