Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
GE-AL_S4_L005_R2_001	(14.0, 158.0)	(15.0, 4029.0)	(16.0, 52887.0)	(17.0, 265752.0)	(18.0, 590299.0)	(19.0, 863693.0)	(20.0, 1177521.0)	(21.0, 1315336.0)	(22.0, 1281407.0)	(23.0, 1507882.0)	(24.0, 2584350.0)	(25.0, 3448093.0)	(26.0, 2940524.0)	(27.0, 2199123.0)	(28.0, 2129353.0)	(29.0, 2315800.0)	(30.0, 2686975.0)	(31.0, 3133034.0)	(32.0, 3992993.0)	(33.0, 5196226.0)	(34.0, 7201052.0)	(35.0, 10617915.0)	(36.0, 18502522.0)	(37.0, 33966211.0)	(38.0, 80309014.0)	(39.0, 314767907.0)	(40.0, 68972876.0)	
GE-AL_S4_L007_R1_001	(15.0, 5.0)	(16.0, 112.0)	(17.0, 2319.0)	(18.0, 18183.0)	(19.0, 60093.0)	(20.0, 120208.0)	(21.0, 161995.0)	(22.0, 187512.0)	(23.0, 210746.0)	(24.0, 238476.0)	(25.0, 255947.0)	(26.0, 279331.0)	(27.0, 308778.0)	(28.0, 369049.0)	(29.0, 435819.0)	(30.0, 530105.0)	(31.0, 624996.0)	(32.0, 796455.0)	(33.0, 1053207.0)	(34.0, 1462781.0)	(35.0, 2004198.0)	(36.0, 3180205.0)	(37.0, 5870206.0)	(38.0, 15491833.0)	(39.0, 38224096.0)	(40.0, 1255937.0)		
GE-AL_S4_L007_R2_001	(13.0, 1.0)	(14.0, 59.0)	(15.0, 1279.0)	(16.0, 11048.0)	(17.0, 44062.0)	(18.0, 97074.0)	(19.0, 142467.0)	(20.0, 178978.0)	(21.0, 180241.0)	(22.0, 178618.0)	(23.0, 243417.0)	(24.0, 409967.0)	(25.0, 429407.0)	(26.0, 341941.0)	(27.0, 267343.0)	(28.0, 280686.0)	(29.0, 322546.0)	(30.0, 387000.0)	(31.0, 453789.0)	(32.0, 574182.0)	(33.0, 750138.0)	(34.0, 1073636.0)	(35.0, 1712129.0)	(36.0, 3256239.0)	(37.0, 6070815.0)	(38.0, 16117576.0)	(39.0, 37978466.0)	(40.0, 1639488.0)
GE-AT_S3_L005_R1_001	(16.0, 133.0)	(17.0, 3933.0)	(18.0, 41377.0)	(19.0, 158154.0)	(20.0, 367640.0)	(21.0, 632368.0)	(22.0, 898384.0)	(23.0, 1076005.0)	(24.0, 1212350.0)	(25.0, 1299596.0)	(26.0, 1464105.0)	(27.0, 1687416.0)	(28.0, 2042514.0)	(29.0, 2443685.0)	(30.0, 3059372.0)	(31.0, 3881824.0)	(32.0, 5510737.0)	(33.0, 7449711.0)	(34.0, 9819215.0)	(35.0, 13982836.0)	(36.0, 23769839.0)	(37.0, 42517490.0)	(38.0, 101590657.0)	(39.0, 407741878.0)	(40.0, 78329660.0)			
GE-AT_S3_L005_R2_001	(13.0, 3.0)	(14.0, 235.0)	(15.0, 6122.0)	(16.0, 77009.0)	(17.0, 378799.0)	(18.0, 862154.0)	(19.0, 1276533.0)	(20.0, 1724249.0)	(21.0, 1902433.0)	(22.0, 1862327.0)	(23.0, 2202728.0)	(24.0, 3885935.0)	(25.0, 5363426.0)	(26.0, 4616977.0)	(27.0, 3347831.0)	(28.0, 3059982.0)	(29.0, 3252958.0)	(30.0, 3752383.0)	(31.0, 4375557.0)	(32.0, 5550026.0)	(33.0, 7180878.0)	(34.0, 9890563.0)	(35.0, 14455553.0)	(36.0, 24867923.0)	(37.0, 44922953.0)	(38.0, 103564287.0)	(39.0, 380971281.0)	(40.0, 77629774.0)
GE-AT_S3_L007_R1_001	(15.0, 1.0)	(16.0, 68.0)	(17.0, 989.0)	(18.0, 8635.0)	(19.0, 30686.0)	(20.0, 63486.0)	(21.0, 88113.0)	(22.0, 103950.0)	(23.0, 116869.0)	(24.0, 132946.0)	(25.0, 142819.0)	(26.0, 155494.0)	(27.0, 172822.0)	(28.0, 208239.0)	(29.0, 247641.0)	(30.0, 306117.0)	(31.0, 373876.0)	(32.0, 479320.0)	(33.0, 616322.0)	(34.0, 848973.0)	(35.0, 1168187.0)	(36.0, 1845418.0)	(37.0, 3431321.0)	(38.0, 9107752.0)	(39.0, 21849563.0)	(40.0, 695878.0)		
GE-AT_S3_L007_R2_001	(14.0, 20.0)	(15.0, 718.0)	(16.0, 6222.0)	(17.0, 25040.0)	(18.0, 56607.0)	(19.0, 85437.0)	(20.0, 108245.0)	(21.0, 109970.0)	(22.0, 109993.0)	(23.0, 152044.0)	(24.0, 281070.0)	(25.0, 301253.0)	(26.0, 236657.0)	(27.0, 171507.0)	(28.0, 174951.0)	(29.0, 203359.0)	(30.0, 246214.0)	(31.0, 289023.0)	(32.0, 358209.0)	(33.0, 456419.0)	(34.0, 648924.0)	(35.0, 1031436.0)	(36.0, 1937176.0)	(37.0, 3589790.0)	(38.0, 9379131.0)	(39.0, 21361236.0)	(40.0, 874834.0)	
GE-YL_S2_L007_R1_001	(15.0, 4.0)	(16.0, 79.0)	(17.0, 1375.0)	(18.0, 10924.0)	(19.0, 37308.0)	(20.0, 76968.0)	(21.0, 102149.0)	(22.0, 115217.0)	(23.0, 126576.0)	(24.0, 143398.0)	(25.0, 154563.0)	(26.0, 169307.0)	(27.0, 187810.0)	(28.0, 224769.0)	(29.0, 263659.0)	(30.0, 320415.0)	(31.0, 383865.0)	(32.0, 490830.0)	(33.0, 648998.0)	(34.0, 907797.0)	(35.0, 1257069.0)	(36.0, 2008850.0)	(37.0, 3733152.0)	(38.0, 9973462.0)	(39.0, 23697710.0)	(40.0, 720159.0)		
GE-YL_S2_L007_R2_001	(14.0, 24.0)	(15.0, 706.0)	(16.0, 6499.0)	(17.0, 27414.0)	(18.0, 61603.0)	(19.0, 93470.0)	(20.0, 118901.0)	(21.0, 120024.0)	(22.0, 116132.0)	(23.0, 151213.0)	(24.0, 258096.0)	(25.0, 275737.0)	(26.0, 214655.0)	(27.0, 164364.0)	(28.0, 171730.0)	(29.0, 197872.0)	(30.0, 235995.0)	(31.0, 278489.0)	(32.0, 357806.0)	(33.0, 471787.0)	(34.0, 678752.0)	(35.0, 1091176.0)	(36.0, 2085920.0)	(37.0, 3895497.0)	(38.0, 10393216.0)	(39.0, 23395694.0)	(40.0, 893641.0)	
GE-YT_S1_L007_R1_001	(16.0, 45.0)	(17.0, 886.0)	(18.0, 7683.0)	(19.0, 27201.0)	(20.0, 56871.0)	(21.0, 77259.0)	(22.0, 88253.0)	(23.0, 96172.0)	(24.0, 110462.0)	(25.0, 119319.0)	(26.0, 130545.0)	(27.0, 144852.0)	(28.0, 171738.0)	(29.0, 201574.0)	(30.0, 244092.0)	(31.0, 294894.0)	(32.0, 387169.0)	(33.0, 506348.0)	(34.0, 698274.0)	(35.0, 970168.0)	(36.0, 1534925.0)	(37.0, 2842321.0)	(38.0, 7512292.0)	(39.0, 18221464.0)	(40.0, 609031.0)			
GE-YT_S1_L007_R2_001	(14.0, 13.0)	(15.0, 493.0)	(16.0, 4836.0)	(17.0, 21368.0)	(18.0, 49690.0)	(19.0, 77684.0)	(20.0, 99129.0)	(21.0, 99668.0)	(22.0, 98286.0)	(23.0, 130361.0)	(24.0, 241823.0)	(25.0, 269562.0)	(26.0, 204249.0)	(27.0, 146020.0)	(28.0, 147255.0)	(29.0, 169120.0)	(30.0, 201183.0)	(31.0, 234914.0)	(32.0, 296725.0)	(33.0, 385813.0)	(34.0, 550947.0)	(35.0, 877757.0)	(36.0, 1649311.0)	(37.0, 3019079.0)	(38.0, 7856930.0)	(39.0, 17536964.0)	(40.0, 684658.0)	
TCR-AL_S4_L001_R1_001	(16.0, 3.0)	(17.0, 40.0)	(18.0, 389.0)	(19.0, 1729.0)	(20.0, 5044.0)	(21.0, 8206.0)	(22.0, 9223.0)	(23.0, 10008.0)	(24.0, 11741.0)	(25.0, 13702.0)	(26.0, 16187.0)	(27.0, 19591.0)	(28.0, 24477.0)	(29.0, 31919.0)	(30.0, 43114.0)	(31.0, 61536.0)	(32.0, 115432.0)	(33.0, 230290.0)	(34.0, 285372.0)	(35.0, 355426.0)	(36.0, 534174.0)	(37.0, 905615.0)	(38.0, 2017780.0)	(39.0, 10554049.0)	(40.0, 2946521.0)			
TCR-AL_S4_L001_R2_001	(13.0, 2.0)	(14.0, 5.0)	(15.0, 36.0)	(16.0, 635.0)	(17.0, 3511.0)	(18.0, 6945.0)	(19.0, 7859.0)	(20.0, 9785.0)	(21.0, 10444.0)	(22.0, 10039.0)	(23.0, 9683.0)	(24.0, 10845.0)	(25.0, 12394.0)	(26.0, 14121.0)	(27.0, 16514.0)	(28.0, 21263.0)	(29.0, 27024.0)	(30.0, 35826.0)	(31.0, 47732.0)	(32.0, 68993.0)	(33.0, 102041.0)	(34.0, 156690.0)	(35.0, 246532.0)	(36.0, 463143.0)	(37.0, 941641.0)	(38.0, 2401182.0)	(39.0, 11103612.0)	(40.0, 2473071.0)
TCR-AL_S4_L002_R1_001	(16.0, 2.0)	(17.0, 36.0)	(18.0, 426.0)	(19.0, 1705.0)	(20.0, 5119.0)	(21.0, 8779.0)	(22.0, 10256.0)	(23.0, 11120.0)	(24.0, 13022.0)	(25.0, 15275.0)	(26.0, 17860.0)	(27.0, 20922.0)	(28.0, 27373.0)	(29.0, 35244.0)	(30.0, 47848.0)	(31.0, 68015.0)	(32.0, 123237.0)	(33.0, 235636.0)	(34.0, 299458.0)	(35.0, 378258.0)	(36.0, 579736.0)	(37.0, 983587.0)	(38.0, 2232726.0)	(39.0, 10361554.0)	(40.0, 2377842.0)			
TCR-AL_S4_L002_R2_001	(13.0, 1.0)	(14.0, 8.0)	(15.0, 34.0)	(16.0, 662.0)	(17.0, 3607.0)	(18.0, 7123.0)	(19.0, 8445.0)	(20.0, 10772.0)	(21.0, 11760.0)	(22.0, 11250.0)	(23.0, 11171.0)	(24.0, 12504.0)	(25.0, 14332.0)	(26.0, 16822.0)	(27.0, 19496.0)	(28.0, 25260.0)	(29.0, 32140.0)	(30.0, 42946.0)	(31.0, 57513.0)	(32.0, 83000.0)	(33.0, 120882.0)	(34.0, 184018.0)	(35.0, 284844.0)	(36.0, 527257.0)	(37.0, 1052119.0)	(38.0, 2636972.0)	(39.0, 10615077.0)	(40.0, 2065021.0)
TCR-AL_S4_L003_R1_001	(16.0, 1.0)	(17.0, 44.0)	(18.0, 375.0)	(19.0, 1702.0)	(20.0, 5016.0)	(21.0, 8713.0)	(22.0, 10016.0)	(23.0, 10966.0)	(24.0, 12795.0)	(25.0, 15035.0)	(26.0, 17724.0)	(27.0, 21158.0)	(28.0, 27320.0)	(29.0, 35634.0)	(30.0, 47753.0)	(31.0, 68679.0)	(32.0, 125099.0)	(33.0, 234678.0)	(34.0, 295605.0)	(35.0, 381321.0)	(36.0, 584485.0)	(37.0, 993681.0)	(38.0, 2273931.0)	(39.0, 9991243.0)	(40.0, 2225737.0)			
TCR-AL_S4_L003_R2_001	(13.0, 2.0)	(14.0, 4.0)	(15.0, 45.0)	(16.0, 720.0)	(17.0, 3636.0)	(18.0, 6884.0)	(19.0, 8652.0)	(20.0, 11329.0)	(21.0, 12965.0)	(22.0, 12358.0)	(23.0, 12257.0)	(24.0, 13652.0)	(25.0, 15387.0)	(26.0, 18008.0)	(27.0, 21098.0)	(28.0, 26941.0)	(29.0, 34859.0)	(30.0, 46234.0)	(31.0, 61764.0)	(32.0, 89087.0)	(33.0, 129649.0)	(34.0, 197879.0)	(35.0, 306146.0)	(36.0, 562034.0)	(37.0, 1117715.0)	(38.0, 2776651.0)	(39.0, 10021821.0)	(40.0, 1880934.0)
TCR-AL_S4_L004_R1_001	(17.0, 29.0)	(18.0, 331.0)	(19.0, 1381.0)	(20.0, 4538.0)	(21.0, 8594.0)	(22.0, 10231.0)	(23.0, 11219.0)	(24.0, 13154.0)	(25.0, 16049.0)	(26.0, 19295.0)	(27.0, 22862.0)	(28.0, 29514.0)	(29.0, 38571.0)	(30.0, 51193.0)	(31.0, 70531.0)	(32.0, 120350.0)	(33.0, 218738.0)	(34.0, 294101.0)	(35.0, 370357.0)	(36.0, 564080.0)	(37.0, 944863.0)	(38.0, 2073630.0)	(39.0, 9118251.0)	(40.0, 1934728.0)				
TCR-AL_S4_L004_R2_001	(14.0, 5.0)	(15.0, 38.0)	(16.0, 656.0)	(17.0, 3355.0)	(18.0, 6507.0)	(19.0, 8088.0)	(20.0, 11227.0)	(21.0, 13592.0)	(22.0, 13303.0)	(23.0, 12770.0)	(24.0, 14496.0)	(25.0, 16757.0)	(26.0, 19535.0)	(27.0, 23079.0)	(28.0, 29657.0)	(29.0, 37123.0)	(30.0, 49047.0)	(31.0, 63758.0)	(32.0, 89927.0)	(33.0, 128386.0)	(34.0, 190178.0)	(35.0, 290389.0)	(36.0, 528820.0)	(37.0, 1034580.0)	(38.0, 2506632.0)	(39.0, 9309418.0)	(40.0, 1535267.0)	
TCR-AT_S3_L001_R1_001	(16.0, 3.0)	(17.0, 41.0)	(18.0, 442.0)	(19.0, 1784.0)	(20.0, 4939.0)	(21.0, 7853.0)	(22.0, 8648.0)	(23.0, 9206.0)	(24.0, 10638.0)	(25.0, 12277.0)	(26.0, 14300.0)	(27.0, 16405.0)	(28.0, 20761.0)	(29.0, 26181.0)	(30.0, 33500.0)	(31.0, 43361.0)	(32.0, 62315.0)	(33.0, 95939.0)	(34.0, 164238.0)	(35.0, 273810.0)	(36.0, 443437.0)	(37.0, 732518.0)	(38.0, 1636904.0)	(39.0, 9099398.0)	(40.0, 2896355.0)			
TCR-AT_S3_L001_R2_001	(14.0, 2.0)	(15.0, 29.0)	(16.0, 598.0)	(17.0, 3483.0)	(18.0, 6954.0)	(19.0, 8453.0)	(20.0, 10144.0)	(21.0, 10743.0)	(22.0, 10341.0)	(23.0, 9986.0)	(24.0, 11013.0)	(25.0, 12034.0)	(26.0, 13447.0)	(27.0, 15543.0)	(28.0, 18985.0)	(29.0, 23984.0)	(30.0, 31106.0)	(31.0, 39547.0)	(32.0, 55882.0)	(33.0, 79776.0)	(34.0, 118474.0)	(35.0, 182614.0)	(36.0, 342282.0)	(37.0, 686969.0)	(38.0, 1748098.0)	(39.0, 9355989.0)	(40.0, 2818777.0)	
TCR-AT_S3_L002_R1_001	(16.0, 1.0)	(17.0, 50.0)	(18.0, 443.0)	(19.0, 1747.0)	(20.0, 4846.0)	(21.0, 8021.0)	(22.0, 9247.0)	(23.0, 9822.0)	(24.0, 11594.0)	(25.0, 12880.0)	(26.0, 15096.0)	(27.0, 17767.0)	(28.0, 22462.0)	(29.0, 28144.0)	(30.0, 36386.0)	(31.0, 47275.0)	(32.0, 67298.0)	(33.0, 102023.0)	(34.0, 170449.0)	(35.0, 284526.0)	(36.0, 473008.0)	(37.0, 795758.0)	(38.0, 1797959.0)	(39.0, 8993104.0)	(40.0, 2361253.0)			
TCR-AT_S3_L002_R2_001	(14.0, 1.0)	(15.0, 29.0)	(16.0, 594.0)	(17.0, 3516.0)	(18.0, 7240.0)	(19.0, 8815.0)	(20.0, 10830.0)	(21.0, 11955.0)	(22.0, 11451.0)	(23.0, 10949.0)	(24.0, 12070.0)	(25.0, 13580.0)	(26.0, 15462.0)	(27.0, 17770.0)	(28.0, 21864.0)	(29.0, 27641.0)	(30.0, 35281.0)	(31.0, 46796.0)	(32.0, 65312.0)	(33.0, 92768.0)	(34.0, 136833.0)	(35.0, 209215.0)	(36.0, 387000.0)	(37.0, 765454.0)	(38.0, 1935410.0)	(39.0, 9059846.0)	(40.0, 2363477.0)	
TCR-AT_S3_L003_R1_001	(16.0, 1.0)	(17.0, 45.0)	(18.0, 387.0)	(19.0, 1734.0)	(20.0, 4884.0)	(21.0, 8011.0)	(22.0, 8835.0)	(23.0, 9498.0)	(24.0, 11275.0)	(25.0, 12759.0)	(26.0, 14961.0)	(27.0, 17746.0)	(28.0, 22094.0)	(29.0, 27795.0)	(30.0, 36313.0)	(31.0, 47159.0)	(32.0, 67319.0)	(33.0, 102639.0)	(34.0, 170372.0)	(35.0, 286421.0)	(36.0, 474625.0)	(37.0, 796462.0)	(38.0, 1813088.0)	(39.0, 8625189.0)	(40.0, 2221554.0)			
TCR-AT_S3_L003_R2_001	(14.0, 2.0)	(15.0, 40.0)	(16.0, 617.0)	(17.0, 3533.0)	(18.0, 7309.0)	(19.0, 8799.0)	(20.0, 11376.0)	(21.0, 12601.0)	(22.0, 11917.0)	(23.0, 11515.0)	(24.0, 12844.0)	(25.0, 14021.0)	(26.0, 16318.0)	(27.0, 18708.0)	(28.0, 23093.0)	(29.0, 29069.0)	(30.0, 37885.0)	(31.0, 49110.0)	(32.0, 68157.0)	(33.0, 97477.0)	(34.0, 144310.0)	(35.0, 222290.0)	(36.0, 408254.0)	(37.0, 800331.0)	(38.0, 2023409.0)	(39.0, 8576681.0)	(40.0, 2171500.0)	
TCR-AT_S3_L004_R1_001	(16.0, 1.0)	(17.0, 39.0)	(18.0, 318.0)	(19.0, 1387.0)	(20.0, 4050.0)	(21.0, 7299.0)	(22.0, 8466.0)	(23.0, 9362.0)	(24.0, 11134.0)	(25.0, 12868.0)	(26.0, 15286.0)	(27.0, 18264.0)	(28.0, 23214.0)	(29.0, 29771.0)	(30.0, 38355.0)	(31.0, 49697.0)	(32.0, 70034.0)	(33.0, 102868.0)	(34.0, 162919.0)	(35.0, 264062.0)	(36.0, 444727.0)	(37.0, 756183.0)	(38.0, 1637181.0)	(39.0, 7658698.0)	(40.0, 1846830.0)			
TCR-AT_S3_L004_R2_001	(15.0, 33.0)	(16.0, 583.0)	(17.0, 3235.0)	(18.0, 6746.0)	(19.0, 8278.0)	(20.0, 11320.0)	(21.0, 13100.0)	(22.0, 12581.0)	(23.0, 12197.0)	(24.0, 13405.0)	(25.0, 15201.0)	(26.0, 17530.0)	(27.0, 19812.0)	(28.0, 24924.0)	(29.0, 31278.0)	(30.0, 40000.0)	(31.0, 50842.0)	(32.0, 70091.0)	(33.0, 98090.0)	(34.0, 141431.0)	(35.0, 214885.0)	(36.0, 383805.0)	(37.0, 741070.0)	(38.0, 1778078.0)	(39.0, 7705100.0)	(40.0, 1759398.0)		
TCR-YL_S2_L001_R1_001	(17.0, 55.0)	(18.0, 388.0)	(19.0, 1951.0)	(20.0, 5710.0)	(21.0, 9143.0)	(22.0, 10455.0)	(23.0, 11608.0)	(24.0, 13491.0)	(25.0, 15921.0)	(26.0, 18639.0)	(27.0, 21568.0)	(28.0, 27546.0)	(29.0, 35341.0)	(30.0, 46447.0)	(31.0, 62716.0)	(32.0, 101499.0)	(33.0, 198140.0)	(34.0, 334820.0)	(35.0, 419173.0)	(36.0, 609772.0)	(37.0, 1043831.0)	(38.0, 2415880.0)	(39.0, 15230477.0)	(40.0, 5064087.0)				
TCR-YL_S2_L001_R2_001	(14.0, 3.0)	(15.0, 52.0)	(16.0, 797.0)	(17.0, 4784.0)	(18.0, 9499.0)	(19.0, 10348.0)	(20.0, 12004.0)	(21.0, 12272.0)	(22.0, 11586.0)	(23.0, 11288.0)	(24.0, 12299.0)	(25.0, 13740.0)	(26.0, 15734.0)	(27.0, 18138.0)	(28.0, 23116.0)	(29.0, 29160.0)	(30.0, 38206.0)	(31.0, 49559.0)	(32.0, 71064.0)	(33.0, 103707.0)	(34.0, 159041.0)	(35.0, 251252.0)	(36.0, 484213.0)	(37.0, 1008757.0)	(38.0, 2690615.0)	(39.0, 15507220.0)	(40.0, 5150204.0)	
TCR-YL_S2_L002_R1_001	(17.0, 42.0)	(18.0, 395.0)	(19.0, 1880.0)	(20.0, 5616.0)	(21.0, 9545.0)	(22.0, 11256.0)	(23.0, 12038.0)	(24.0, 14422.0)	(25.0, 16962.0)	(26.0, 19746.0)	(27.0, 23548.0)	(28.0, 29653.0)	(29.0, 38046.0)	(30.0, 50410.0)	(31.0, 68393.0)	(32.0, 108494.0)	(33.0, 199631.0)	(34.0, 344334.0)	(35.0, 446580.0)	(36.0, 664226.0)	(37.0, 1146785.0)	(38.0, 2713996.0)	(39.0, 15172549.0)	(40.0, 4115556.0)				
TCR-YL_S2_L002_R2_001	(14.0, 5.0)	(15.0, 58.0)	(16.0, 819.0)	(17.0, 4898.0)	(18.0, 9746.0)	(19.0, 10983.0)	(20.0, 12811.0)	(21.0, 13825.0)	(22.0, 12994.0)	(23.0, 12699.0)	(24.0, 14125.0)	(25.0, 15955.0)	(26.0, 18544.0)	(27.0, 21528.0)	(28.0, 27521.0)	(29.0, 34671.0)	(30.0, 44985.0)	(31.0, 59311.0)	(32.0, 84723.0)	(33.0, 123682.0)	(34.0, 188224.0)	(35.0, 295277.0)	(36.0, 559136.0)	(37.0, 1151980.0)	(38.0, 3038371.0)	(39.0, 15156981.0)	(40.0, 4300251.0)	
TCR-YL_S2_L003_R1_001	(17.0, 33.0)	(18.0, 401.0)	(19.0, 1720.0)	(20.0, 5398.0)	(21.0, 9508.0)	(22.0, 10832.0)	(23.0, 11990.0)	(24.0, 14043.0)	(25.0, 16194.0)	(26.0, 19896.0)	(27.0, 23019.0)	(28.0, 29545.0)	(29.0, 38192.0)	(30.0, 50477.0)	(31.0, 68415.0)	(32.0, 109959.0)	(33.0, 202950.0)	(34.0, 344166.0)	(35.0, 446836.0)	(36.0, 672271.0)	(37.0, 1166506.0)	(38.0, 2791651.0)	(39.0, 14666197.0)	(40.0, 3889462.0)				
TCR-YL_S2_L003_R2_001	(14.0, 2.0)	(15.0, 38.0)	(16.0, 840.0)	(17.0, 4969.0)	(18.0, 9659.0)	(19.0, 11083.0)	(20.0, 13430.0)	(21.0, 14712.0)	(22.0, 14006.0)	(23.0, 13546.0)	(24.0, 14922.0)	(25.0, 16727.0)	(26.0, 19566.0)	(27.0, 22874.0)	(28.0, 29483.0)	(29.0, 37010.0)	(30.0, 48722.0)	(31.0, 64182.0)	(32.0, 91895.0)	(33.0, 133367.0)	(34.0, 203145.0)	(35.0, 320171.0)	(36.0, 604302.0)	(37.0, 1236858.0)	(38.0, 3261823.0)	(39.0, 14471181.0)	(40.0, 3931148.0)	
TCR-YL_S2_L004_R1_001	(17.0, 32.0)	(18.0, 293.0)	(19.0, 1331.0)	(20.0, 4364.0)	(21.0, 8389.0)	(22.0, 10203.0)	(23.0, 11549.0)	(24.0, 13989.0)	(25.0, 16495.0)	(26.0, 20031.0)	(27.0, 23809.0)	(28.0, 30777.0)	(29.0, 40094.0)	(30.0, 53224.0)	(31.0, 71653.0)	(32.0, 109501.0)	(33.0, 185039.0)	(34.0, 317841.0)	(35.0, 443255.0)	(36.0, 658331.0)	(37.0, 1112692.0)	(38.0, 2523387.0)	(39.0, 13428822.0)	(40.0, 3387772.0)				
TCR-YL_S2_L004_R2_001	(14.0, 4.0)	(15.0, 37.0)	(16.0, 804.0)	(17.0, 4574.0)	(18.0, 8932.0)	(19.0, 10245.0)	(20.0, 13060.0)	(21.0, 14981.0)	(22.0, 14893.0)	(23.0, 14513.0)	(24.0, 16120.0)	(25.0, 18196.0)	(26.0, 21302.0)	(27.0, 25086.0)	(28.0, 31810.0)	(29.0, 40467.0)	(30.0, 52152.0)	(31.0, 67918.0)	(32.0, 95270.0)	(33.0, 135551.0)	(34.0, 200991.0)	(35.0, 312878.0)	(36.0, 579226.0)	(37.0, 1156976.0)	(38.0, 2917035.0)	(39.0, 13422296.0)	(40.0, 3297556.0)	
TCR-YT_S1_L001_R1_001	(16.0, 3.0)	(17.0, 78.0)	(18.0, 608.0)	(19.0, 2329.0)	(20.0, 6341.0)	(21.0, 10045.0)	(22.0, 11164.0)	(23.0, 11634.0)	(24.0, 13448.0)	(25.0, 15514.0)	(26.0, 18115.0)	(27.0, 20787.0)	(28.0, 26224.0)	(29.0, 32805.0)	(30.0, 42827.0)	(31.0, 58294.0)	(32.0, 102051.0)	(33.0, 185697.0)	(34.0, 230888.0)	(35.0, 299338.0)	(36.0, 470574.0)	(37.0, 814196.0)	(38.0, 1840482.0)	(39.0, 10486916.0)	(40.0, 3241104.0)			
TCR-YT_S1_L001_R2_001	(14.0, 3.0)	(15.0, 38.0)	(16.0, 799.0)	(17.0, 4583.0)	(18.0, 9405.0)	(19.0, 11134.0)	(20.0, 13069.0)	(21.0, 13630.0)	(22.0, 12927.0)	(23.0, 12178.0)	(24.0, 13312.0)	(25.0, 14760.0)	(26.0, 16285.0)	(27.0, 18464.0)	(28.0, 22672.0)	(29.0, 27920.0)	(30.0, 35827.0)	(31.0, 45173.0)	(32.0, 63102.0)	(33.0, 88888.0)	(34.0, 132347.0)	(35.0, 204890.0)	(36.0, 386106.0)	(37.0, 779846.0)	(38.0, 2007491.0)	(39.0, 10787199.0)	(40.0, 3219414.0)	
TCR-YT_S1_L002_R1_001	(16.0, 1.0)	(17.0, 67.0)	(18.0, 592.0)	(19.0, 2358.0)	(20.0, 6401.0)	(21.0, 10671.0)	(22.0, 11793.0)	(23.0, 12786.0)	(24.0, 14802.0)	(25.0, 16654.0)	(26.0, 19942.0)	(27.0, 23060.0)	(28.0, 29047.0)	(29.0, 36547.0)	(30.0, 47906.0)	(31.0, 65204.0)	(32.0, 111597.0)	(33.0, 195016.0)	(34.0, 246655.0)	(35.0, 325126.0)	(36.0, 519627.0)	(37.0, 897644.0)	(38.0, 2058644.0)	(39.0, 10463974.0)	(40.0, 2652166.0)			
TCR-YT_S1_L002_R2_001	(13.0, 2.0)	(14.0, 3.0)	(15.0, 59.0)	(16.0, 831.0)	(17.0, 4808.0)	(18.0, 9883.0)	(19.0, 11693.0)	(20.0, 14580.0)	(21.0, 15710.0)	(22.0, 14834.0)	(23.0, 13927.0)	(24.0, 15453.0)	(25.0, 17063.0)	(26.0, 19397.0)	(27.0, 22420.0)	(28.0, 27272.0)	(29.0, 33757.0)	(30.0, 42774.0)	(31.0, 55030.0)	(32.0, 75725.0)	(33.0, 107214.0)	(34.0, 157882.0)	(35.0, 241937.0)	(36.0, 446825.0)	(37.0, 889725.0)	(38.0, 2265298.0)	(39.0, 10549570.0)	(40.0, 2714608.0)
TCR-YT_S1_L003_R1_001	(16.0, 2.0)	(17.0, 63.0)	(18.0, 550.0)	(19.0, 2301.0)	(20.0, 6305.0)	(21.0, 10439.0)	(22.0, 11880.0)	(23.0, 12628.0)	(24.0, 14712.0)	(25.0, 17093.0)	(26.0, 19822.0)	(27.0, 23171.0)	(28.0, 28982.0)	(29.0, 36502.0)	(30.0, 48051.0)	(31.0, 65462.0)	(32.0, 112230.0)	(33.0, 193615.0)	(34.0, 243374.0)	(35.0, 323174.0)	(36.0, 520651.0)	(37.0, 900790.0)	(38.0, 2088642.0)	(39.0, 10037248.0)	(40.0, 2490094.0)			
TCR-YT_S1_L003_R2_001	(14.0, 7.0)	(15.0, 49.0)	(16.0, 844.0)	(17.0, 4760.0)	(18.0, 9781.0)	(19.0, 12149.0)	(20.0, 15650.0)	(21.0, 16829.0)	(22.0, 15537.0)	(23.0, 14809.0)	(24.0, 16253.0)	(25.0, 17861.0)	(26.0, 20374.0)	(27.0, 23151.0)	(28.0, 28052.0)	(29.0, 35474.0)	(30.0, 45151.0)	(31.0, 58226.0)	(32.0, 80825.0)	(33.0, 113245.0)	(34.0, 166137.0)	(35.0, 258299.0)	(36.0, 473028.0)	(37.0, 934126.0)	(38.0, 2385358.0)	(39.0, 9977236.0)	(40.0, 2484570.0)	
