Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
BCR-AT_S7_L002_R1_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 56.0)	(18.0, 557.0)	(19.0, 2527.0)	(20.0, 7260.0)	(21.0, 12511.0)	(22.0, 14914.0)	(23.0, 15748.0)	(24.0, 18461.0)	(25.0, 21171.0)	(26.0, 24782.0)	(27.0, 29036.0)	(28.0, 36833.0)	(29.0, 46833.0)	(30.0, 62164.0)	(31.0, 86015.0)	(32.0, 156822.0)	(33.0, 264635.0)	(34.0, 308654.0)	(35.0, 399432.0)	(36.0, 644168.0)	(37.0, 1124904.0)	(38.0, 2574018.0)	(39.0, 12437946.0)	(40.0, 3150521.0)		
BCR-AT_S7_L002_R2_001	(13.0, 3.0)	(14.0, 8.0)	(15.0, 104.0)	(16.0, 1902.0)	(17.0, 9756.0)	(18.0, 19057.0)	(19.0, 23810.0)	(20.0, 28776.0)	(21.0, 30815.0)	(22.0, 29935.0)	(23.0, 30143.0)	(24.0, 36294.0)	(25.0, 42306.0)	(26.0, 43043.0)	(27.0, 41666.0)	(28.0, 47089.0)	(29.0, 55319.0)	(30.0, 67856.0)	(31.0, 83308.0)	(32.0, 112546.0)	(33.0, 152160.0)	(34.0, 218771.0)	(35.0, 330375.0)	(36.0, 599301.0)	(37.0, 1155258.0)	(38.0, 2858607.0)	(39.0, 12424795.0)	(40.0, 2996968.0)
BCR-AT_S7_L003_R1_001	(17.0, 66.0)	(18.0, 585.0)	(19.0, 2511.0)	(20.0, 7157.0)	(21.0, 12297.0)	(22.0, 14595.0)	(23.0, 15878.0)	(24.0, 18487.0)	(25.0, 21325.0)	(26.0, 24712.0)	(27.0, 29260.0)	(28.0, 36554.0)	(29.0, 46621.0)	(30.0, 62636.0)	(31.0, 87605.0)	(32.0, 158535.0)	(33.0, 261679.0)	(34.0, 304652.0)	(35.0, 400545.0)	(36.0, 651065.0)	(37.0, 1133834.0)	(38.0, 2608243.0)	(39.0, 11940140.0)	(40.0, 2965804.0)				
BCR-AT_S7_L003_R2_001	(14.0, 6.0)	(15.0, 114.0)	(16.0, 1820.0)	(17.0, 9581.0)	(18.0, 18845.0)	(19.0, 23856.0)	(20.0, 29812.0)	(21.0, 32356.0)	(22.0, 30942.0)	(23.0, 31867.0)	(24.0, 38128.0)	(25.0, 43554.0)	(26.0, 44462.0)	(27.0, 43851.0)	(28.0, 49447.0)	(29.0, 57852.0)	(30.0, 71323.0)	(31.0, 88354.0)	(32.0, 117810.0)	(33.0, 160462.0)	(34.0, 232112.0)	(35.0, 350485.0)	(36.0, 631770.0)	(37.0, 1211289.0)	(38.0, 2992609.0)	(39.0, 11742844.0)	(40.0, 2749235.0)	
BCR-AT_S7_L004_R1_001	(16.0, 1.0)	(17.0, 44.0)	(18.0, 520.0)	(19.0, 2140.0)	(20.0, 6585.0)	(21.0, 12138.0)	(22.0, 15109.0)	(23.0, 16495.0)	(24.0, 19388.0)	(25.0, 22790.0)	(26.0, 27190.0)	(27.0, 31641.0)	(28.0, 40048.0)	(29.0, 51110.0)	(30.0, 68021.0)	(31.0, 91125.0)	(32.0, 152897.0)	(33.0, 253685.0)	(34.0, 310920.0)	(35.0, 398197.0)	(36.0, 637215.0)	(37.0, 1083192.0)	(38.0, 2386132.0)	(39.0, 10934670.0)	(40.0, 2575953.0)			
BCR-AT_S7_L004_R2_001	(13.0, 1.0)	(14.0, 11.0)	(15.0, 103.0)	(16.0, 1758.0)	(17.0, 9287.0)	(18.0, 18807.0)	(19.0, 23844.0)	(20.0, 30875.0)	(21.0, 34576.0)	(22.0, 32700.0)	(23.0, 33471.0)	(24.0, 39185.0)	(25.0, 44930.0)	(26.0, 46327.0)	(27.0, 46425.0)	(28.0, 52475.0)	(29.0, 61879.0)	(30.0, 75419.0)	(31.0, 91897.0)	(32.0, 121225.0)	(33.0, 163391.0)	(34.0, 230779.0)	(35.0, 342909.0)	(36.0, 605244.0)	(37.0, 1137742.0)	(38.0, 2703699.0)	(39.0, 10908583.0)	(40.0, 2279664.0)
BCR-YL_S6_L001_R1_001	(16.0, 3.0)	(17.0, 47.0)	(18.0, 492.0)	(19.0, 1949.0)	(20.0, 5237.0)	(21.0, 8638.0)	(22.0, 9612.0)	(23.0, 10542.0)	(24.0, 11780.0)	(25.0, 13571.0)	(26.0, 15761.0)	(27.0, 18330.0)	(28.0, 22701.0)	(29.0, 28920.0)	(30.0, 38331.0)	(31.0, 52052.0)	(32.0, 92921.0)	(33.0, 182220.0)	(34.0, 221949.0)	(35.0, 267856.0)	(36.0, 415180.0)	(37.0, 727666.0)	(38.0, 1661149.0)	(39.0, 9636158.0)	(40.0, 2971816.0)			
BCR-YL_S6_L001_R2_001	(14.0, 1.0)	(15.0, 42.0)	(16.0, 948.0)	(17.0, 5498.0)	(18.0, 10129.0)	(19.0, 10752.0)	(20.0, 12238.0)	(21.0, 12679.0)	(22.0, 12304.0)	(23.0, 13060.0)	(24.0, 16837.0)	(25.0, 20066.0)	(26.0, 20673.0)	(27.0, 20469.0)	(28.0, 24203.0)	(29.0, 30019.0)	(30.0, 40980.0)	(31.0, 56453.0)	(32.0, 83578.0)	(33.0, 124514.0)	(34.0, 178290.0)	(35.0, 237899.0)	(36.0, 373897.0)	(37.0, 657588.0)	(38.0, 1648732.0)	(39.0, 9755699.0)	(40.0, 3047333.0)	
BCR-YL_S6_L002_R1_001	(17.0, 53.0)	(18.0, 445.0)	(19.0, 2016.0)	(20.0, 5484.0)	(21.0, 9219.0)	(22.0, 10599.0)	(23.0, 11073.0)	(24.0, 13204.0)	(25.0, 14610.0)	(26.0, 17153.0)	(27.0, 19957.0)	(28.0, 25369.0)	(29.0, 32247.0)	(30.0, 41999.0)	(31.0, 58263.0)	(32.0, 99578.0)	(33.0, 186399.0)	(34.0, 234626.0)	(35.0, 289605.0)	(36.0, 455964.0)	(37.0, 800162.0)	(38.0, 1855272.0)	(39.0, 9565488.0)	(40.0, 2413543.0)				
BCR-YL_S6_L002_R2_001	(15.0, 43.0)	(16.0, 1056.0)	(17.0, 5591.0)	(18.0, 10659.0)	(19.0, 11429.0)	(20.0, 13161.0)	(21.0, 14307.0)	(22.0, 13998.0)	(23.0, 14655.0)	(24.0, 18409.0)	(25.0, 21412.0)	(26.0, 22480.0)	(27.0, 23251.0)	(28.0, 28070.0)	(29.0, 34978.0)	(30.0, 47136.0)	(31.0, 64415.0)	(32.0, 95180.0)	(33.0, 137203.0)	(34.0, 194202.0)	(35.0, 262907.0)	(36.0, 418017.0)	(37.0, 749601.0)	(38.0, 1880571.0)	(39.0, 9525539.0)	(40.0, 2554058.0)		
BCR-YL_S6_L003_R1_001	(16.0, 5.0)	(17.0, 43.0)	(18.0, 487.0)	(19.0, 1900.0)	(20.0, 5117.0)	(21.0, 8921.0)	(22.0, 10299.0)	(23.0, 11067.0)	(24.0, 12544.0)	(25.0, 14530.0)	(26.0, 16988.0)	(27.0, 19771.0)	(28.0, 24796.0)	(29.0, 31655.0)	(30.0, 42294.0)	(31.0, 57795.0)	(32.0, 99955.0)	(33.0, 184430.0)	(34.0, 229546.0)	(35.0, 287844.0)	(36.0, 460457.0)	(37.0, 804651.0)	(38.0, 1877525.0)	(39.0, 9173770.0)	(40.0, 2267405.0)			
