Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
BCR-AL_S8_L003_R2_001 - illumina_universal_adapter	(1, 0.0016966296527915787)	(2, 0.0032869034169007005)	(3, 0.0050848243922470004)	(4, 0.00779436727058579)	(5, 0.010377295995731178)	(6, 0.014079493835106236)	(7, 0.017057458718215037)	(8, 0.01980245355944798)	(9, 0.023003259352177167)	(10, 0.035414485104807145)	(15, 0.061327844153981445)	(20, 0.0967747424820061)	(25, 0.14691293423336754)	(30, 0.2177054395668621)	(35, 0.32324593310275385)	(40, 0.41751168952507944)	(45, 0.5531397575126255)	(50, 0.7407282481442923)	(55, 0.9737053804127296)	(60, 1.2258073272927241)	(65, 1.5128173026647518)	(70, 1.8229926035050443)	(75, 2.1953698926129652)	(80, 2.633581476815328)	(85, 3.100337968626836)	(90, 3.6138961160247534)	(95, 4.176838847734225)	(100, 4.809552055332614)	(105, 5.499610332282132)	(110, 6.26023928656875)	(115, 7.114157548928267)	(120, 8.033364146153655)	(125, 9.029173318974276)	(130, 10.090250568396257)	(135, 11.21700004679659)	(140, 11.927357104786076)
BCR-AL_S8_L003_R2_001 - polyg	(1, 0.06821464117447694)	(2, 0.08273981682882395)	(3, 0.08382363398015946)	(4, 0.08446683387838194)	(5, 0.08494290309438914)	(6, 0.08545442427329047)	(7, 0.08601152654734144)	(8, 0.08663446818105297)	(9, 0.08732324917442508)	(10, 0.08926399091457353)	(15, 0.09111357046442274)	(20, 0.09196644340033348)	(25, 0.09257723007533845)	(30, 0.09305532511779677)	(35, 0.09346454206091782)	(40, 0.09390718514048195)	(45, 0.09420295580234174)	(50, 0.0944359258442176)	(55, 0.09473473524575403)	(60, 0.09503354464729045)	(65, 0.09538907718945752)	(70, 0.0957233385538881)	(75, 0.09658228896915212)	(80, 0.10483348010445973)	(85, 0.12063087477009402)	(90, 0.14304360571177716)	(95, 0.17349177727172632)	(100, 0.2153635841893969)	(105, 0.2751426840215167)	(110, 0.36704733971509185)	(115, 0.462848672587347)	(120, 0.5800650168741215)	(125, 0.732964268270473)	(130, 0.9537834030926671)	(135, 1.1962788809415716)	(140, 1.3512262428799797)
BCR-AL_S8_L004_R1_001 - illumina_universal_adapter	(1, 0.0015681747619082002)	(2, 0.00310250402535795)	(3, 0.004986570106211687)	(4, 0.007338832249073987)	(5, 0.010012626627291566)	(6, 0.013188462565976158)	(7, 0.016048407185715215)	(8, 0.018716560647523053)	(9, 0.02181342375647126)	(10, 0.03372139829743605)	(15, 0.05917546950475462)	(20, 0.09475498566755959)	(25, 0.14333907052138312)	(30, 0.21175323292201273)	(35, 0.31581460248236426)	(40, 0.40603090680664555)	(45, 0.5363236658555781)	(50, 0.7190509992996239)	(55, 0.9478612352614135)	(60, 1.1979196751554186)	(65, 1.4859031242553988)	(70, 1.7954145667415176)	(75, 2.1637901001465734)	(80, 2.594814779381503)	(85, 3.055674265507556)	(90, 3.5610304284569345)	(95, 4.103217262828798)	(100, 4.700168370072998)	(105, 5.3374125432319826)	(110, 6.031433668238301)	(115, 6.800005144515767)	(120, 7.634895746839281)	(125, 8.554810754023553)	(130, 9.549200524199081)	(135, 10.624701031430284)	(140, 11.303945211809642)
BCR-AL_S8_L004_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 5.6409164097417275e-06)	(4, 1.692274922922518e-05)	(5, 1.692274922922518e-05)	(6, 1.692274922922518e-05)	(7, 2.256366563896691e-05)	(8, 2.8204582048708635e-05)	(9, 5.640916409741727e-05)	(10, 0.00010604922850314448)	(15, 0.0002560976050022744)	(20, 0.00044111966324180313)	(25, 0.0005088106601587038)	(30, 0.0005370152422074125)	(35, 0.0018050932511173526)	(40, 0.0066912550452356365)	(45, 0.007070324627970281)	(50, 0.00740539506270894)	(55, 0.007661492667711214)	(60, 0.008131945096283674)	(65, 0.008558398376860149)	(70, 0.009077362686556387)	(75, 0.015175193325487196)	(80, 0.029206408803078766)	(85, 0.049003769034708336)	(90, 0.07666343855823592)	(95, 0.11525294771727908)	(100, 0.16845468674411718)	(105, 0.2475121302266475)	(110, 0.34695810198054833)	(115, 0.449354273016744)	(120, 0.5891294125504524)	(125, 0.7899742413193065)	(130, 1.0268442186473354)	(135, 1.289530414016188)	(140, 1.4629547481172878)
BCR-AL_S8_L004_R2_001 - illumina_universal_adapter	(1, 0.001551252012678975)	(2, 0.0030912221925384667)	(3, 0.005003492855440912)	(4, 0.00741216416240063)	(5, 0.01009159945702795)	(6, 0.013273076312122285)	(7, 0.016155584597500307)	(8, 0.018846301724947112)	(9, 0.021977010332353768)	(10, 0.03397411135259247)	(15, 0.059568077286872634)	(20, 0.09515549073265125)	(25, 0.14389864942922953)	(30, 0.21232747821252446)	(35, 0.31634936135800773)	(40, 0.4077186689964404)	(45, 0.539053869397893)	(50, 0.7225472392903818)	(55, 0.9523728402059252)	(60, 1.2031792656158617)	(65, 1.4920122367271493)	(70, 1.8031290840234806)	(75, 2.1744153302959632)	(80, 2.6071469508364804)	(85, 3.0683922756449595)	(90, 3.5739718188841634)	(95, 4.116251164285147)	(100, 4.713234988844524)	(105, 5.350208398015842)	(110, 6.043026879643603)	(115, 6.809563113280431)	(120, 7.6425741622562215)	(125, 8.560279058391156)	(130, 9.55131473966945)	(135, 10.621718114832813)	(140, 11.297142266619494)
BCR-AL_S8_L004_R2_001 - polyg	(1, 0.06983454515260258)	(2, 0.08303993046780797)	(3, 0.08420195924821476)	(4, 0.08498040571275912)	(5, 0.08555577918655277)	(6, 0.0861537163259854)	(7, 0.0867629352982375)	(8, 0.08744548618381626)	(9, 0.08817880531708268)	(10, 0.09009107597998513)	(15, 0.09192775836299703)	(20, 0.09275133215881932)	(25, 0.09332219289948519)	(30, 0.09376669711257284)	(35, 0.09418299674361177)	(40, 0.09448760622973783)	(45, 0.09478206206632633)	(50, 0.0951239016007567)	(55, 0.09540256287139795)	(60, 0.09565753229311827)	(65, 0.09598132089503744)	(70, 0.0963558777446443)	(75, 0.09720652793923334)	(80, 0.10513652822804827)	(85, 0.12028126060492286)	(90, 0.14209806891123997)	(95, 0.17231645811822638)	(100, 0.21358765893846074)	(105, 0.2702359978916511)	(110, 0.3602266655595428)	(115, 0.45325214625587557)	(120, 0.5670903521375914)	(125, 0.7144119096442523)	(130, 0.9285174047091272)	(135, 1.1670774005935145)	(140, 1.3214015917312287)
BCR-AT_S7_L001_R1_001 - illumina_universal_adapter	(1, 0.00113379205243903)	(2, 0.0024695551587538386)	(3, 0.0040026990677199765)	(4, 0.0060591316162733585)	(5, 0.008133925169724538)	(6, 0.011016602938678835)	(7, 0.013210743023965701)	(8, 0.015423244114150367)	(9, 0.017768862489844068)	(10, 0.02679054224637715)	(15, 0.04675262677126319)	(20, 0.07376350107641391)	(25, 0.11097666775302613)	(30, 0.1635322901222384)	(35, 0.24214768674289547)	(40, 0.3194814852216862)	(45, 0.4346986270558587)	(50, 0.6021565000252463)	(55, 0.8172455738502569)	(60, 1.049863899051195)	(65, 1.3174553483312141)	(70, 1.6066246505671256)	(75, 1.9536054128242442)	(80, 2.3666132667440887)	(85, 2.8128949337397238)	(90, 3.309592247983732)	(95, 3.869685521888613)	(100, 4.493418038769262)	(105, 5.167210917453512)	(110, 5.918366054174145)	(115, 6.774256953083042)	(120, 7.694112084754399)	(125, 8.699897637397694)	(130, 9.778533231123738)	(135, 10.917911619302924)	(140, 11.638008198188686)
BCR-AT_S7_L001_R1_001 - polya	(1, 2.295125612224757e-05)	(2, 8.721477326454077e-05)	(3, 0.0020426617948800336)	(4, 0.002607262695487324)	(5, 0.0033600638962970443)	(6, 0.0036905619844574094)	(7, 0.0039843380628221785)	(8, 0.004324016653431443)	(9, 0.00623356116280244)	(10, 0.007024920473897536)	(15, 0.00850206331792539)	(20, 0.009454999472121108)	(25, 0.010285834943746472)	(30, 0.011068013752392669)	(35, 0.011985145947037682)	(40, 0.013838689391470394)	(45, 0.01785332311237394)	(50, 0.0212390924155279)	(55, 0.02553005926014331)	(60, 0.030792323263852228)	(65, 0.03588199382152185)	(70, 0.04055945981923591)	(75, 0.04528282832919446)	(80, 0.050259578706742615)	(85, 0.05554938421779824)	(90, 0.06096220846166911)	(95, 0.06560387049983245)	(100, 0.07031622240685234)	(105, 0.07487801407371027)	(110, 0.07985201030052375)	(115, 0.08555126622080027)	(120, 0.09078690676740739)	(125, 0.09563696621116073)	(130, 0.10230568319004099)	(135, 0.1115229076487356)	(140, 0.11487562714307355)
BCR-AT_S7_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 5.049276346894466e-05)	(4, 6.42635171422932e-05)	(5, 6.885376836674271e-05)	(6, 7.803427081564174e-05)	(7, 9.180502448899028e-05)	(8, 0.00011016602938678833)	(9, 0.00013770753673348542)	(10, 0.0002598082193038425)	(15, 0.00048564857954675855)	(20, 0.0007739163564421881)	(25, 0.0009217224458694625)	(30, 0.0010631021835825073)	(35, 0.0025870655900997463)	(40, 0.007988873231031934)	(45, 0.00841484854466085)	(50, 0.008893152722248488)	(55, 0.009388899854489036)	(60, 0.009932385599463859)	(65, 0.010504330902030267)	(70, 0.011236934997452411)	(75, 0.01626968643993886)	(80, 0.027937187002244634)	(85, 0.043387972623741694)	(90, 0.0652999958687739)	(95, 0.09469688276039348)	(100, 0.13584940303782828)	(105, 0.19541250292628515)	(110, 0.2739507833263714)	(115, 0.3610902764708313)	(120, 0.48521158763019107)	(125, 0.6692641368262086)	(130, 0.890497720940267)	(135, 1.1358971416505625)	(140, 1.2991512625485993)
BCR-AT_S7_L001_R2_001 - illumina_universal_adapter	(1, 0.0011383823036634794)	(2, 0.0024511941538560406)	(3, 0.004007289318944426)	(4, 0.006105034128517854)	(5, 0.00820736918931573)	(6, 0.011094637209494475)	(7, 0.013357631063148086)	(8, 0.015570132153332751)	(9, 0.017993784799842094)	(10, 0.0270944168774357)	(15, 0.0471611591302392)	(20, 0.07432993807751098)	(25, 0.1116495985825304)	(30, 0.1642850913230481)	(35, 0.24291425869737848)	(40, 0.32093200460861226)	(45, 0.43659072861057685)	(50, 0.6038457124758438)	(55, 0.8184500557715524)	(60, 1.0508260157078397)	(65, 1.3186690107549588)	(70, 1.6079907093315218)	(75, 1.9553240028826777)	(80, 2.368399792520645)	(85, 2.8144987675175464)	(90, 3.3115100549453067)	(95, 3.87246354192965)	(100, 4.496431997723236)	(105, 5.169469321055941)	(110, 5.9204748155866564)	(115, 6.776961529104488)	(120, 7.698214851298812)	(125, 8.707010690695103)	(130, 9.786884734201504)	(135, 10.926390731364727)	(140, 11.646146713609635)
