Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
BCR-YL_S6_L003_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.917693245149275e-05)	(4, 2.5569243268656997e-05)	(5, 3.1961554085821246e-05)	(6, 3.1961554085821246e-05)	(7, 3.83538649029855e-05)	(8, 4.474617572014974e-05)	(9, 8.949235144029949e-05)	(10, 0.00020966779480298736)	(15, 0.0004078294301350791)	(20, 0.0005599664275835883)	(25, 0.0006469018546970221)	(30, 0.0006916480304171718)	(35, 0.002188727223797039)	(40, 0.007647760661655308)	(45, 0.007912402329485908)	(50, 0.008196220929768)	(55, 0.008499216462501586)	(60, 0.008864856641243382)	(65, 0.009355786112001597)	(70, 0.009938764858526976)	(75, 0.015307027482781514)	(80, 0.026997285505211487)	(85, 0.043252931913260184)	(90, 0.0656861074950164)	(95, 0.0972487813858466)	(100, 0.14179679547066426)	(105, 0.20715817357616867)	(110, 0.2869009725581293)	(115, 0.3764022732335728)	(120, 0.5036885231492743)	(125, 0.6835144541334119)	(130, 0.8980787590223471)	(135, 1.1382302056502276)	(140, 1.301736567118145)
BCR-YL_S6_L003_R2_001 - illumina_universal_adapter	(1, 0.0010675159064664297)	(2, 0.002429078110522415)	(3, 0.0038098172470298927)	(4, 0.0056188412082873755)	(5, 0.007606849872425457)	(6, 0.01060484364567549)	(7, 0.012867721674951635)	(8, 0.014926045758078522)	(9, 0.017387085422686757)	(10, 0.0271455871161697)	(15, 0.047653398679796045)	(20, 0.07568368161306128)	(25, 0.11566630731226021)	(30, 0.17054046029112502)	(35, 0.2531444575948483)	(40, 0.3295185087761633)	(45, 0.4468263615062713)	(50, 0.6067645350760478)	(55, 0.8114821243822231)	(60, 1.0362715696542941)	(65, 1.2990057719370525)	(70, 1.5851064271808728)	(75, 1.9220042195643703)	(80, 2.322711336986965)	(85, 2.7546039819621773)	(90, 3.2319063245203616)	(95, 3.740358397690586)	(100, 4.31350704864133)	(105, 4.937996183151211)	(110, 5.627695837231312)	(115, 6.397517993555912)	(120, 7.223990086804385)	(125, 8.129119564658064)	(130, 9.101286484513507)	(135, 10.150965286875723)	(140, 10.811909769975891)
BCR-YL_S6_L003_R2_001 - polyg	(1, 0.06614763233601566)	(2, 0.08138690132413523)	(3, 0.0825886557577621)	(4, 0.08334294843418748)	(5, 0.08382876405629197)	(6, 0.0845191336245457)	(7, 0.08522868012525094)	(8, 0.08599575742331064)	(9, 0.08668612699156439)	(10, 0.08877896955310396)	(15, 0.09065575200902339)	(20, 0.09162354786674207)	(25, 0.09226022202413162)	(30, 0.0926565452947958)	(35, 0.09309377935468982)	(40, 0.09348498877670028)	(45, 0.09385702126625924)	(50, 0.09423161068014507)	(55, 0.09468418628600031)	(60, 0.09505621877555925)	(65, 0.0953886189380518)	(70, 0.09576576527626449)	(75, 0.09648170408778689)	(80, 0.10255439936409294)	(85, 0.11469211914372439)	(90, 0.1320919891880455)	(95, 0.1561130147767853)	(100, 0.18926098175027223)	(105, 0.23556560284764663)	(110, 0.30623899124221465)	(115, 0.3821540745068572)	(120, 0.4784491231187829)	(125, 0.6096845426573283)	(130, 0.7969166049542327)	(135, 1.0113556205511514)	(140, 1.1497529851292478)
BCR-YL_S6_L004_R1_001 - illumina_universal_adapter	(1, 0.0010579370975071117)	(2, 0.00219503955605217)	(3, 0.003548047544700721)	(4, 0.005685512292725294)	(5, 0.007527906149608426)	(6, 0.010219528424898629)	(7, 0.0124001742789439)	(8, 0.014710363451051266)	(9, 0.016962977815131033)	(10, 0.026316005379214313)	(15, 0.04618795036993974)	(20, 0.07369575427532532)	(25, 0.11242776700569113)	(30, 0.1661551384868448)	(35, 0.24751122097024206)	(40, 0.3220288556301613)	(45, 0.43608598970303347)	(50, 0.5955926772328913)	(55, 0.7978947195696628)	(60, 1.0212273999087151)	(65, 1.2825407417333732)	(70, 1.5660131877976529)	(75, 1.9036145896290786)	(80, 2.299629952315105)	(85, 2.721994425894961)	(90, 3.186155331362452)	(95, 3.670726506275726)	(100, 4.200896929146858)	(105, 4.7649515659124315)	(110, 5.380014603850055)	(115, 6.0738514941310395)	(120, 6.82490478925965)	(125, 7.65050018834159)	(130, 8.5517604001334)	(135, 9.536239239448301)	(140, 10.162478986994282)
BCR-YL_S6_L004_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 7.196851003449739e-06)	(4, 3.598425501724869e-05)	(5, 4.318110602069843e-05)	(6, 5.037795702414817e-05)	(7, 5.757480802759791e-05)	(8, 6.477165903104765e-05)	(9, 0.00010075591404829634)	(10, 0.00022742049170901177)	(15, 0.0004994614596394119)	(20, 0.0007643055765663622)	(25, 0.0008607433800125886)	(30, 0.0009125607072374267)	(35, 0.0024440506007715316)	(40, 0.008031685719849909)	(45, 0.008427512525039644)	(50, 0.008724022786381774)	(55, 0.009011896826519764)	(60, 0.009360224415086731)	(65, 0.009750293739473706)	(70, 0.01019361976128621)	(75, 0.015189673727881017)	(80, 0.026753573920224056)	(85, 0.0423693012275093)	(90, 0.06399439912267507)	(95, 0.0942010221543543)	(100, 0.13651130920363536)	(105, 0.19909512552963424)	(110, 0.2775897400540599)	(115, 0.3640872528943216)	(120, 0.4874067342086336)	(125, 0.6641772279255668)	(130, 0.8744677748761674)	(135, 1.1091599648390649)	(140, 1.267091981369368)
BCR-YL_S6_L004_R2_001 - illumina_universal_adapter	(1, 0.0010507402465036618)	(2, 0.0021878427050487205)	(3, 0.0035408506936972714)	(4, 0.005728693398745992)	(5, 0.007628662063656723)	(6, 0.010349071742960724)	(7, 0.012565701852023244)	(8, 0.014883087875134059)	(9, 0.017186080196237977)	(10, 0.026598121938549546)	(15, 0.04657370158372464)	(20, 0.07420817006677094)	(25, 0.1128898048401126)	(30, 0.16675823460093392)	(35, 0.24809416590152145)	(40, 0.3234236053546299)	(45, 0.43822633319145937)	(50, 0.5984570239322643)	(55, 0.8016989750100866)	(60, 1.0256405089440304)	(65, 1.2876289153928122)	(70, 1.5724817174795533)	(75, 1.912183160433786)	(80, 2.3097890271915746)	(85, 2.732837201616758)	(90, 3.197334919711211)	(95, 3.682411313564927)	(100, 4.2128768073272)	(105, 4.776466527517951)	(110, 5.390994119740919)	(115, 6.084066704445336)	(120, 6.833768430955499)	(125, 7.657698478715242)	(130, 8.556734863546986)	(135, 9.536964682029447)	(140, 10.16028394743823)
BCR-YL_S6_L004_R2_001 - polyg	(1, 0.07043558077076259)	(2, 0.08444065282347578)	(3, 0.0853546529009139)	(4, 0.08627584982935546)	(5, 0.0869163695686625)	(6, 0.08763605466900747)	(7, 0.08824059015329724)	(8, 0.08886671619059737)	(9, 0.08977351941703204)	(10, 0.09192393849686283)	(15, 0.09397216229244462)	(20, 0.09489767733148825)	(25, 0.09557418132581254)	(30, 0.09615712625709195)	(35, 0.09657886172589411)	(40, 0.096922871203859)	(45, 0.09729998619643977)	(50, 0.09765119252540812)	(55, 0.09804557996039717)	(60, 0.09846011857819587)	(65, 0.09893079263382147)	(70, 0.0993309375496133)	(75, 0.09994986673590997)	(80, 0.10585416329914013)	(85, 0.11797509975915019)	(90, 0.13489489646826053)	(95, 0.1580212574827459)	(100, 0.19042148070027665)	(105, 0.23489514116119464)	(110, 0.3039590021306997)	(115, 0.3783269422897472)	(120, 0.4737917314803074)	(125, 0.6016135627823774)	(130, 0.7873758021430207)	(135, 0.9987156499699242)	(140, 1.1350081749030547)
BCR-YT_S5_L001_R1_001 - illumina_universal_adapter	(1, 0.0013707254272788988)	(2, 0.002966495327693139)	(3, 0.00449577481559012)	(4, 0.006444455367057509)	(5, 0.008234581857906818)	(6, 0.01107321100768215)	(7, 0.013190674914001044)	(8, 0.015405317115537474)	(9, 0.017486978492039385)	(10, 0.02690508969275343)	(15, 0.047026111449899655)	(20, 0.0744641473722145)	(25, 0.1128434364066003)	(30, 0.16788215402954149)	(35, 0.2509665276522629)	(40, 0.3324970714809271)	(45, 0.4547115643347677)	(50, 0.627121203992023)	(55, 0.8451770233070889)	(60, 1.0881943664105573)	(65, 1.3724838429576245)	(70, 1.6861712882021305)	(75, 2.0594760831684584)	(80, 2.496501197773635)	(85, 2.9691447148995964)	(90, 3.4936783728834504)	(95, 4.079202151875252)	(100, 4.726746141804307)	(105, 5.42516245781503)	(110, 6.196814382960532)	(115, 7.07309357538435)	(120, 8.012818942361559)	(125, 9.04305003592784)	(130, 10.155253578833667)	(135, 11.343073087642392)	(140, 12.087737065811853)
BCR-YT_S5_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 3.0687882700273856e-05)	(4, 4.603182405041078e-05)	(5, 8.183435386739695e-05)	(6, 9.206364810082156e-05)	(7, 0.00010740758945095849)	(8, 0.00013298082503452002)	(9, 0.0002301591202520539)	(10, 0.00031199347411945083)	(15, 0.0005554506768749568)	(20, 0.0007170735257630657)	(25, 0.0008746046569578049)	(30, 0.0010618007414294754)	(35, 0.0034943269101378495)	(40, 0.012433707140727623)	(45, 0.012873566792764881)	(50, 0.013316495233072167)	(55, 0.01400697259382833)	(60, 0.0147434817786349)	(65, 0.01520789173683238)	(70, 0.015823695249684543)	(75, 0.021356720500543915)	(80, 0.03284114913640973)	(85, 0.048607560338387104)	(90, 0.07064350597603042)	(95, 0.10080560295270624)	(100, 0.14354461718937764)	(105, 0.20757590737292236)	(110, 0.2890931531190831)	(115, 0.3823587432923321)	(120, 0.5149007316042382)	(125, 0.7053517775009844)	(130, 0.9316892334274309)	(135, 1.1883299505909743)	(140, 1.3625829090690929)
BCR-YT_S5_L001_R2_001 - illumina_universal_adapter	(1, 0.0013860693686290357)	(2, 0.0030176417988602624)	(3, 0.004587838463690941)	(4, 0.00657743619209203)	(5, 0.0083931359185249)	(6, 0.011247109009650367)	(7, 0.013395260798669538)	(8, 0.015645705530022952)	(9, 0.017758054789225135)	(10, 0.027199693366676058)	(15, 0.047400503618842994)	(20, 0.0748641127767414)	(25, 0.11321680564612033)	(30, 0.16819619336250763)	(35, 0.25100437604092657)	(40, 0.3332724519838207)	(45, 0.45599738661990924)	(50, 0.6279866022841707)	(55, 0.8451995277544023)	(60, 1.0878230430298843)	(65, 1.3721882163542785)	(70, 1.686032169800556)	(75, 2.0593594692141974)	(80, 2.495992801850234)	(85, 2.968138152347027)	(90, 3.493177137466012)	(95, 4.079587796267853)	(100, 4.726970163348019)	(105, 5.424525172784287)	(110, 6.19588658597356)	(115, 7.072239429315859)	(120, 8.013075697646817)	(125, 9.045327076824197)	(130, 10.15803083221804)	(135, 11.345846249309076)	(140, 12.08965505848062)
BCR-YT_S5_L001_R2_001 - polya	(1, 0.0005421525943715048)	(2, 0.002465259910255333)	(3, 0.003948507574101903)	(4, 0.005257857235980254)	(5, 0.006725760958476686)	(6, 0.007702658557768737)	(7, 0.008434053095458598)	(8, 0.009405836047633936)	(9, 0.010459453353676672)	(10, 0.013485278587923675)	(15, 0.018111988369701626)	(20, 0.022893160494404298)	(25, 0.027405302180767893)	(30, 0.0317466146534333)	(35, 0.035856745076423314)	(40, 0.040321832009313156)	(45, 0.04511323342824925)	(50, 0.049782906245807584)	(55, 0.05433085046198818)	(60, 0.058761157794484375)	(65, 0.06336536312894879)	(70, 0.06776600550816807)	(75, 0.07217892304046745)	(80, 0.07675039463338489)	(85, 0.08120116055434796)	(90, 0.0853941482606287)	(95, 0.0894050545295545)	(100, 0.09335663089192643)	(105, 0.09771431023536531)	(110, 0.1018336470231654)	(115, 0.10589058511614162)	(120, 0.10961404821710818)	(125, 0.11318509483399672)	(130, 0.11675000387434517)	(135, 0.12033025685604379)	(140, 0.12248556915102637)
BCR-YT_S5_L001_R2_001 - polyg	(1, 0.10318800557967084)	(2, 0.11658326637834036)	(3, 0.11807674333642036)	(4, 0.119380978351182)	(5, 0.12037321989182419)	(6, 0.12118644878338145)	(7, 0.12233724438464172)	(8, 0.12361079151670308)	(9, 0.1248229628833639)	(10, 0.12809838289690645)	(15, 0.1310096400357391)	(20, 0.1325317590176727)	(25, 0.13355878015870853)	(30, 0.13435461925006895)	(35, 0.1349438265979142)	(40, 0.13556576768730644)	(45, 0.13621737372997558)	(50, 0.13675134288896035)	(55, 0.13737737569604594)	(60, 0.13802182123275167)	(65, 0.13868058778138423)	(70, 0.13933628554174676)	(75, 0.14045434740146007)	(80, 0.14775601762527854)	(85, 0.1600843630354019)	(90, 0.17744756706721682)	(95, 0.20148538558634135)	(100, 0.2337823362695329)	(105, 0.27924029691344854)	(110, 0.3507921642174071)	(115, 0.43015102888031526)	(120, 0.5332633376826588)	(125, 0.6732021286547542)	(130, 0.8741167196228705)	(135, 1.1044742881830527)	(140, 1.2540245240168741)
BCR-YT_S5_L002_R1_001 - illumina_universal_adapter	(1, 0.0013077817007192435)	(2, 0.002516960812892195)	(3, 0.003990810031163089)	(4, 0.006009568291400333)	(5, 0.007841500594391973)	(6, 0.010405167896595569)	(7, 0.012631510553772377)	(8, 0.014702164913244513)	(9, 0.016746871223099202)	(10, 0.02603212129820583)	(15, 0.04550665149709089)	(20, 0.07306140434684841)	(25, 0.11032799320742337)	(30, 0.16272021915099955)	(35, 0.24325777555362627)	(40, 0.3234372488715323)	(45, 0.441632690722965)	(50, 0.6100967701372824)	(55, 0.8247348848848512)	(60, 1.0621252874589806)	(65, 1.3388944501325455)	(70, 1.644226187903009)	(75, 2.0047182895502376)	(80, 2.4306409931128163)	(85, 2.896439621405501)	(90, 3.4123439335094723)	(95, 3.9872281623938965)	(100, 4.623283361368472)	(105, 5.309623804657685)	(110, 6.070009602335242)	(115, 6.9415319344463)	(120, 7.876740121616433)	(125, 8.904159373751089)	(130, 10.01541469835574)	(135, 11.203557207742836)	(140, 11.947327950289349)
BCR-YT_S5_L002_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.5568829770467185e-05)	(4, 3.113765954093437e-05)	(5, 4.670648931140156e-05)	(6, 5.708570915837968e-05)	(7, 6.227531908186874e-05)	(8, 0.00010379219846978124)	(9, 0.0001504986877811828)	(10, 0.00026985971602143117)	(15, 0.0006092602050176159)	(20, 0.0008459064175287171)	(25, 0.001023391076912043)	(30, 0.0011987998923259733)	(35, 0.003593285911023826)	(40, 0.012370992135613225)	(45, 0.012725961454379878)	(50, 0.01303318636185043)	(55, 0.013560450730076917)	(60, 0.014209151970513052)	(65, 0.014680368551565858)	(70, 0.015239808501317977)	(75, 0.020310057396566793)	(80, 0.031521690675272565)	(85, 0.047028245126657875)	(90, 0.06895849874133794)	(95, 0.09923883472291194)	(100, 0.14109719044379002)	(105, 0.2020719932788324)	(110, 0.2825317055326068)	(115, 0.3750230094329983)	(120, 0.5037201459256035)	(125, 0.6923936043039719)	(130, 0.917217885409365)	(135, 1.167755645763662)	(140, 1.3369732565388697)
BCR-YT_S5_L002_R2_001 - illumina_universal_adapter	(1, 0.0013233505304897108)	(2, 0.0025636673022035967)	(3, 0.004068654180015425)	(4, 0.0061081708799466256)	(5, 0.007960861622632221)	(6, 0.01056604580422373)	(7, 0.012813146901094493)	(8, 0.01493569735980152)	(9, 0.01704786859866157)	(10, 0.02653136177284548)	(15, 0.046260182857981495)	(20, 0.07412423645917897)	(25, 0.11172711204279602)	(30, 0.164669436638262)	(35, 0.2455277109341604)	(40, 0.3268686189529433)	(45, 0.4469987473838527)	(50, 0.6171203882077324)	(55, 0.8322899190114665)	(60, 1.0695339745857537)	(65, 1.3457935175648317)	(70, 1.6512736781791069)	(75, 2.0136838596540576)	(80, 2.441532946420236)	(85, 2.907439518599328)	(90, 3.424078679468466)	(95, 3.9998565591817146)	(100, 4.637121975190447)	(105, 5.3276130684964675)	(110, 6.091514307936196)	(115, 6.963997755805084)	(120, 7.9004618285767005)	(125, 8.927783516044794)	(130, 10.034905835306379)	(135, 11.218270789797913)	(140, 11.958169045419519)
BCR-YT_S5_L002_R2_001 - polya	(1, 0.0006019947511247312)	(2, 0.0026207530113619764)	(3, 0.0043177554563429)	(4, 0.005656674816603077)	(5, 0.007021542226480701)	(6, 0.008059464211178513)	(7, 0.00890537062870723)	(8, 0.009813552365317816)	(9, 0.010643889953076066)	(10, 0.013593664233587249)	(15, 0.01838056042701356)	(20, 0.023227656095552343)	(25, 0.027549563239834034)	(30, 0.03182787766075841)	(35, 0.03590794898260552)	(40, 0.04033676209131108)	(45, 0.04465244170368459)	(50, 0.04895566625224172)	(55, 0.05347893026155479)	(60, 0.05762439066843785)	(65, 0.06181551964264762)	(70, 0.06624329482936848)	(75, 0.07043027211563946)	(80, 0.07470547277060975)	(85, 0.07903983497870781)	(90, 0.0832693670663514)	(95, 0.0873556659201067)	(100, 0.09123334245493772)	(105, 0.0951297015854933)	(110, 0.09949104976519349)	(115, 0.10354724888139255)	(120, 0.1075671207281272)	(125, 0.11103066639106378)	(130, 0.11457413204682212)	(135, 0.11806881536929965)	(140, 0.12021212426770063)
BCR-YT_S5_L002_R2_001 - polyg	(1, 0.09846765868828146)	(2, 0.11050755371077609)	(3, 0.11183609385118928)	(4, 0.11328399501984274)	(5, 0.1142025559763003)	(6, 0.11514187537245182)	(7, 0.11618498696707312)	(8, 0.1173318907601642)	(9, 0.11862929324103647)	(10, 0.1220367911167994)	(15, 0.1253622931557712)	(20, 0.1268247252322104)	(25, 0.12790935370621961)	(30, 0.128687795194743)	(35, 0.12942679564784781)	(40, 0.13008795195210032)	(45, 0.13074391864642934)	(50, 0.13122032483740564)	(55, 0.13174551336166274)	(60, 0.13236619070851202)	(65, 0.1330657501261983)	(70, 0.13380578850128788)	(75, 0.13488418944338892)	(80, 0.14182788752101727)	(85, 0.15412830096167104)	(90, 0.1712789238368177)	(95, 0.19549675750577172)	(100, 0.22771178006682247)	(105, 0.2723341220329508)	(110, 0.3413279101217685)	(115, 0.41926028234280377)	(120, 0.5212921651265374)	(125, 0.6580466899863519)	(130, 0.8577958138634306)	(135, 1.0838230465490883)	(140, 1.2305499258378794)
BCR-YT_S5_L003_R1_001 - illumina_universal_adapter	(1, 0.0011196969660502648)	(2, 0.002516702059206436)	(3, 0.004044512872695583)	(4, 0.005922883016677102)	(5, 0.007712305270832198)	(6, 0.010433064253758074)	(7, 0.012515491321459035)	(8, 0.014713027423053011)	(9, 0.01684254455007384)	(10, 0.025738379978478797)	(15, 0.04509030146742043)	(20, 0.07130481426791126)	(25, 0.10905953093905847)	(30, 0.16187888080951368)	(35, 0.23970095928729512)	(40, 0.3163709009803836)	(45, 0.4313302931293406)	(50, 0.5960931784607557)	(55, 0.8064706345866858)	(60, 1.0403920739267887)	(65, 1.311831733195677)	(70, 1.6125969885174551)	(75, 1.9692215186502273)	(80, 2.388567914905542)	(85, 2.845036974591355)	(90, 3.3534913668747803)	(95, 3.926558552773882)	(100, 4.561673693724371)	(105, 5.250636840730013)	(110, 6.01785529475918)	(115, 6.88990877818353)	(120, 7.826712139618468)	(125, 8.853147766408611)	(130, 9.953470835608917)	(135, 11.119086888170632)	(140, 11.848387379989676)
BCR-YT_S5_L003_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.5696686439956983e-05)	(4, 5.755451694650893e-05)	(5, 6.801897457314693e-05)	(6, 7.848343219978491e-05)	(7, 8.89478898264229e-05)	(8, 0.00012557349151965587)	(9, 0.00014127017795961285)	(10, 0.00023231095931136337)	(15, 0.00056194137455046)	(20, 0.0007743698643712111)	(25, 0.0009208722711441429)	(30, 0.0011050467253729715)	(35, 0.003381066259166734)	(40, 0.011452302426592615)	(45, 0.011860416274031496)	(50, 0.012169117774017316)	(55, 0.012722687582466466)	(60, 0.013397645099384617)	(65, 0.013926100209529835)	(70, 0.014548735438314794)	(75, 0.019616672266895573)	(80, 0.03092875096129124)	(85, 0.0459379225351781)	(90, 0.06751877349859363)	(95, 0.09684750888877193)	(100, 0.13901613378683503)	(105, 0.20079724516874306)	(110, 0.2780312211279074)	(115, 0.36750024094413686)	(120, 0.49391821419426235)	(125, 0.6780570892671605)	(130, 0.896908663179142)	(135, 1.1437798688322094)	(140, 1.3109767870075806)
BCR-YT_S5_L003_R2_001 - illumina_universal_adapter	(1, 0.0011667870253701358)	(2, 0.0025794888049662642)	(3, 0.004112531847268729)	(4, 0.006017063135316843)	(5, 0.007827414304725215)	(6, 0.010637121177477515)	(7, 0.012735244931618431)	(8, 0.014969406634905643)	(9, 0.01717217496531294)	(10, 0.02624276683608275)	(15, 0.04584060307925037)	(20, 0.07226754436956195)	(25, 0.10996470652376264)	(30, 0.16300171711285194)	(35, 0.24125179190756282)	(40, 0.3196462762175213)	(45, 0.4361334791799674)	(50, 0.6014206338384771)	(55, 0.8110320916661374)	(60, 1.0437762795232435)	(65, 1.3141820503786197)	(70, 1.6135858797631726)	(75, 1.9668178327333883)	(80, 2.382121809007533)	(85, 2.8377338296137244)	(90, 3.3433324714108403)	(95, 3.9111726607254362)	(100, 4.541860289654094)	(105, 5.227431905942944)	(110, 5.989609630733359)	(115, 6.853976970030944)	(120, 7.779190944644379)	(125, 8.79436786147402)	(130, 9.88807634700853)	(135, 11.044728545167269)	(140, 11.767303530069672)
BCR-YT_S5_L003_R2_001 - polya	(1, 0.0006330996864115983)	(2, 0.0025010053727664793)	(3, 0.004028816186255626)	(4, 0.005483375796358306)	(5, 0.006896077575954435)	(6, 0.0077593953301520685)	(7, 0.00859131971146979)	(8, 0.009512191982613931)	(9, 0.01050631545714454)	(10, 0.013438456484128508)	(15, 0.018031306936459917)	(20, 0.022664968773535223)	(25, 0.027112363264856366)	(30, 0.03159219757482008)	(35, 0.036035406283090585)	(40, 0.04050477613542766)	(45, 0.04486426918268505)	(50, 0.04931480301129419)	(55, 0.05363139178228236)	(60, 0.057987745492251754)	(65, 0.06225724420392005)	(70, 0.06648069930203114)	(75, 0.07084961036115249)	(80, 0.07536711671857213)	(85, 0.07978416428277602)	(90, 0.08399506203173515)	(95, 0.08795585924341762)	(100, 0.09194177115340403)	(105, 0.09601453806169154)	(110, 0.10015427749878951)	(115, 0.10404496284437352)	(120, 0.10773054482047544)	(125, 0.11152181781860637)	(130, 0.11501066799132749)	(135, 0.11841057027422217)	(140, 0.12047206842666984)
BCR-YT_S5_L003_R2_001 - polyg	(1, 0.09862751313106304)	(2, 0.11114823668133539)	(3, 0.1128277821304108)	(4, 0.11417246493543377)	(5, 0.11508287274895128)	(6, 0.11592526158789564)	(7, 0.11699786849462603)	(8, 0.11823790672338264)	(9, 0.11941515820637941)	(10, 0.12255449549437081)	(15, 0.12559651332643446)	(20, 0.12698410040772665)	(25, 0.1281079831568276)	(30, 0.12883421651611626)	(35, 0.12950184891269576)	(40, 0.13015797040588595)	(45, 0.1308392065973801)	(50, 0.13140428730921855)	(55, 0.1320625016939341)	(60, 0.13265060421255112)	(65, 0.13329207546506405)	(70, 0.13400470502943812)	(75, 0.13504696500905122)	(80, 0.14168143114433973)	(85, 0.15383275934039176)	(90, 0.1704670611836955)	(95, 0.19379861590804753)	(100, 0.22533849119473442)	(105, 0.2703680988079204)	(110, 0.33867693885732514)	(115, 0.41386092756743115)	(120, 0.5119254528781811)	(125, 0.646120611036424)	(130, 0.8407438262054505)	(135, 1.0623391809071365)	(140, 1.2064106941734005)
BCR-YT_S5_L004_R1_001 - illumina_universal_adapter	(1, 0.0011996079860482228)	(2, 0.0026851038566219564)	(3, 0.004019247317741008)	(4, 0.006020462509419585)	(5, 0.007836691422875772)	(6, 0.010667542044157794)	(7, 0.0126463346566579)	(8, 0.01464194420354186)	(9, 0.01676648358070203)	(10, 0.02559873751910194)	(15, 0.04534854525949959)	(20, 0.07163229257250384)	(25, 0.10838514210393638)	(30, 0.1612822486438684)	(35, 0.2401996371914576)	(40, 0.3182840269225665)	(45, 0.4344688631937343)	(50, 0.5986626837439272)	(55, 0.8057968645498519)	(60, 1.0345789244236319)	(65, 1.30259713447286)	(70, 1.5979821024094125)	(75, 1.9499403587422077)	(80, 2.3647132283855727)	(85, 2.8192390886544496)	(90, 3.327986108763747)	(95, 3.893414045649344)	(100, 4.520786599773387)	(105, 5.2065475500781675)	(110, 5.968096818006183)	(115, 6.8297640230950325)	(120, 7.7564959473150115)	(125, 8.767926922123747)	(130, 9.856312188672998)	(135, 11.012607599651128)	(140, 11.742273081116315)
BCR-YT_S5_L004_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 5.605644794617864e-06)	(4, 2.802822397308932e-05)	(5, 6.16620927407965e-05)	(6, 6.726773753541437e-05)	(7, 8.408467191926795e-05)	(8, 0.00011211289589235728)	(9, 0.00015135240945468231)	(10, 0.0002982203030736703)	(15, 0.0006076518957365765)	(20, 0.0008386044612748323)	(25, 0.0009697765494688903)	(30, 0.0010964641218272541)	(35, 0.0033936573586616546)	(40, 0.011936660025659279)	(45, 0.012278604358130968)	(50, 0.012601489498300955)	(55, 0.013227079457380312)	(60, 0.013903120219611226)	(65, 0.014400901477373293)	(70, 0.014913257411601363)	(75, 0.019991971595525147)	(80, 0.030964460716510156)	(85, 0.045742061524081765)	(90, 0.06735294333629256)	(95, 0.09574217083415527)	(100, 0.13655687058376792)	(105, 0.19728169951490432)	(110, 0.2744725494657512)	(115, 0.36310115705553636)	(120, 0.48811488387822716)	(125, 0.6684316599867)	(130, 0.8821222029444098)	(135, 1.1218307856518588)	(140, 1.2836702353883123)
BCR-YT_S5_L004_R2_001 - illumina_universal_adapter	(1, 0.0012052136308428405)	(2, 0.002707526435800428)	(3, 0.0040472755417140975)	(4, 0.006082124602160382)	(5, 0.007931987384384278)	(6, 0.010790866229639387)	(7, 0.012825715290085672)	(8, 0.014843747416148103)	(9, 0.01700192066207598)	(10, 0.025908169111764846)	(15, 0.04575103055575316)	(20, 0.07204262577146986)	(25, 0.10871811740473669)	(30, 0.16158046894694206)	(35, 0.2404989786234902)	(40, 0.3190609692911006)	(45, 0.43558102312098645)	(50, 0.600087638650719)	(55, 0.8075077073411693)	(60, 1.0363716096289504)	(65, 1.304550141119305)	(70, 1.6006604794922812)	(75, 1.954039206216032)	(80, 2.369358065662393)	(85, 2.8235823422413193)	(90, 3.3317542231946895)	(95, 3.896169780630378)	(100, 4.522223887098726)	(105, 5.205637193363522)	(110, 5.964441937600093)	(115, 6.822631400658361)	(120, 7.745953971714253)	(125, 8.7539374749743)	(130, 9.837977245678761)	(135, 10.987479736294771)	(140, 11.711369161363587)
BCR-YT_S5_L004_R2_001 - polya	(1, 0.0005773814138456399)	(2, 0.0025281458023726565)	(3, 0.00419862795116878)	(4, 0.005706546400920985)	(5, 0.007035084217245418)	(6, 0.008088945438633578)	(7, 0.00899705989536167)	(8, 0.009921991286473619)	(9, 0.01072920413689859)	(10, 0.013555570242344916)	(15, 0.018378667023634127)	(20, 0.023219701868266114)	(25, 0.02813809461106383)	(30, 0.032769478340377106)	(35, 0.037117216443082725)	(40, 0.04180689887826002)	(45, 0.04628468794020077)	(50, 0.05073893329400413)	(55, 0.055099003815257896)	(60, 0.059472527884018765)	(65, 0.06383932517902607)	(70, 0.06825208876134925)	(75, 0.07251686332109453)	(80, 0.0768096661048129)	(85, 0.08144777660787969)	(90, 0.08551859585773121)	(95, 0.08961856446051471)	(100, 0.09361763145699509)	(105, 0.09755727861865252)	(110, 0.10173012060376607)	(115, 0.10582560469071386)	(120, 0.10986839571659228)	(125, 0.11343470693492816)	(130, 0.11702119847452468)	(135, 0.12052921098699651)	(140, 0.12252818392075726)
