Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BCR-AT_S7_L003_R1_001	(1.0, 25.198957442092894)	(2.0, 5.656917636700802)	(3.0, 2.081251271758202)	(4.0, 1.6366191492456577)	(5.0, 1.762859958223751)	(6.0, 2.1014535911448444)	(7.0, 2.5126534105310663)	(8.0, 2.7247659043353596)	(9.0, 2.8793783111923696)	('>10', 44.72369127195918)	('>50', 5.179602844315125)	('>100', 1.572837129624414)	('>500', 0.604713982476552)	('>1k', 1.0261577511545068)	('>5k', 0.2399540992556662)	('>10k+', 0.09818624598955311)
BCR-AT_S7_L003_R2_001	(1.0, 11.941370341440374)	(2.0, 3.7847998069033966)	(3.0, 1.4669430793502223)	(4.0, 0.8361475135252341)	(5.0, 0.595483858981403)	(6.0, 0.47909935816560056)	(7.0, 0.38372861922346674)	(8.0, 0.3456661799210664)	(9.0, 0.28593135317161844)	('>10', 5.876846751958714)	('>50', 4.728913360330038)	('>100', 22.234721910513837)	('>500', 11.746024325250461)	('>1k', 17.49263410541653)	('>5k', 3.7181957183452727)	('>10k+', 14.083493717502805)
BCR-AT_S7_L004_R1_001	(1.0, 25.83864989636293)	(2.0, 5.389461988010696)	(3.0, 2.096046239029173)	(4.0, 1.7221972598368096)	(5.0, 1.9316971373019047)	(6.0, 2.2530204663700895)	(7.0, 2.6928915588755626)	(8.0, 2.8859707043202043)	(9.0, 3.1090185643537533)	('>10', 44.00971696496131)	('>50', 4.607276399207419)	('>100', 1.5032008035323625)	('>500', 0.6245392682531131)	('>1k', 0.9936810405735128)	('>5k', 0.24305164941336413)	('>10k+', 0.09958005959786094)
BCR-AT_S7_L004_R2_001	(1.0, 13.302767994791731)	(2.0, 3.545207688796033)	(3.0, 1.3589035011174104)	(4.0, 0.8377423705456166)	(5.0, 0.588558191506478)	(6.0, 0.47244031248276164)	(7.0, 0.3985507376003889)	(8.0, 0.3326581246017906)	(9.0, 0.3226973542869235)	('>10', 6.1088954274133105)	('>50', 4.964960001800456)	('>100', 22.40728210486562)	('>500', 11.431313525965688)	('>1k', 16.746993686590343)	('>5k', 3.4289876723432116)	('>10k+', 13.752041305292195)
BCR-YL_S6_L001_R1_001	(1.0, 19.21135314359922)	(2.0, 4.381469773466058)	(3.0, 2.765501783949536)	(4.0, 2.7625959385810783)	(5.0, 3.17333022636294)	(6.0, 3.3961372983404887)	(7.0, 3.5237767148336374)	(8.0, 3.403001528537266)	(9.0, 3.3163754707703075)	('>10', 48.89900459810427)	('>50', 4.008647287576068)	('>100', 0.6556171174014209)	('>500', 0.1768604407824736)	('>1k', 0.25577729091565593)	('>5k', 0.0)	('>10k+', 0.07055138677951268)
BCR-YL_S6_L001_R2_001	(1.0, 10.2263208649675)	(2.0, 2.9583198428204867)	(3.0, 1.1551289940931608)	(4.0, 0.6324472223793203)	(5.0, 0.48292265322178046)	(6.0, 0.3724799858858288)	(7.0, 0.3243007296956707)	(8.0, 0.29392700894391)	(9.0, 0.2812284598488954)	('>10', 6.83033840073423)	('>50', 6.058797475513185)	('>100', 22.96437873980893)	('>500', 8.904372711626522)	('>1k', 12.519717646347944)	('>5k', 2.478405958675264)	('>10k+', 23.51691330543738)
BCR-YL_S6_L002_R1_001	(1.0, 19.407783922362952)	(2.0, 4.311842276137924)	(3.0, 2.899774317486239)	(4.0, 3.0469949836551202)	(5.0, 3.347334087949947)	(6.0, 3.789801296744513)	(7.0, 3.6883930305497095)	(8.0, 3.673793820788513)	(9.0, 3.3505373050127685)	('>10', 48.086417314799924)	('>50', 3.3694913744240176)	('>100', 0.5790438265294324)	('>500', 0.15813324244972407)	('>1k', 0.22458276753943096)	('>5k', 0.0)	('>10k+', 0.06607643356974965)
BCR-YL_S6_L002_R2_001	(1.0, 11.106465467254715)	(2.0, 2.8962348854668694)	(3.0, 1.1281656300497072)	(4.0, 0.6620896212819942)	(5.0, 0.48547244579139287)	(6.0, 0.4019301879520509)	(7.0, 0.3665214190589606)	(8.0, 0.319758965759638)	(9.0, 0.30423036978528833)	('>10', 7.293515863907872)	('>50', 6.413454852585862)	('>100', 22.828394635670605)	('>500', 8.466097696985493)	('>1k', 12.234674175832087)	('>5k', 2.2052777712320193)	('>10k+', 22.88771601138538)
BCR-YL_S6_L003_R1_001	(1.0, 18.144866029627313)	(2.0, 4.627833535379735)	(3.0, 3.147173249569694)	(4.0, 3.2258023209651467)	(5.0, 3.6317007575618865)	(6.0, 3.7974584205777866)	(7.0, 3.7049175276961175)	(8.0, 3.781668071210436)	(9.0, 3.3654570265777317)	('>10', 48.379482406883795)	('>50', 3.1861761750295403)	('>100', 0.5397147639404368)	('>500', 0.16725991100200224)	('>1k', 0.22813119516070823)	('>5k', 0.0)	('>10k+', 0.07235860881759829)
BCR-YL_S6_L003_R2_001	(1.0, 9.517173596857546)	(2.0, 3.0125318900417812)	(3.0, 1.2327730971084119)	(4.0, 0.6794991418155909)	(5.0, 0.5033945061872064)	(6.0, 0.3838733433671949)	(7.0, 0.34510197926365027)	(8.0, 0.29781844726326245)	(9.0, 0.28010862008507154)	('>10', 7.2790447803570055)	('>50', 6.48653440052416)	('>100', 23.360038342670048)	('>500', 8.548819247974468)	('>1k', 12.330807790907182)	('>5k', 2.059283437965735)	('>10k+', 23.6831973776117)
BCR-YL_S6_L004_R1_001	(1.0, 18.861350116322374)	(2.0, 4.663844115051196)	(3.0, 3.495960408954346)	(4.0, 3.60507581570373)	(5.0, 3.9718403668364743)	(6.0, 4.135784094416243)	(7.0, 4.081802521932366)	(8.0, 3.8705228906384046)	(9.0, 3.5782494338382866)	('>10', 46.332482443329425)	('>50', 2.4652210431697954)	('>100', 0.48874472313744277)	('>500', 0.16206377571814257)	('>1k', 0.21446809868436398)	('>5k', 0.0725901522673225)	('>10k+', 0.0)
BCR-YL_S6_L004_R2_001	(1.0, 10.950732837622615)	(2.0, 2.7670815008763583)	(3.0, 1.0887430920327246)	(4.0, 0.701535983687225)	(5.0, 0.47679379342981415)	(6.0, 0.4210154648172076)	(7.0, 0.3752344414785955)	(8.0, 0.33808314584999444)	(9.0, 0.3162197409754221)	('>10', 7.99000517301055)	('>50', 6.9170405766842)	('>100', 23.17732611124535)	('>500', 7.984934285973916)	('>1k', 11.263433734002422)	('>5k', 1.8118193231029447)	('>10k+', 23.420000795210676)
BCR-YT_S5_L001_R1_001	(1.0, 23.495332169750924)	(2.0, 6.140452804087843)	(3.0, 2.4236575283099024)	(4.0, 1.2057720948945396)	(5.0, 0.8536699221820673)	(6.0, 0.6884905053165685)	(7.0, 0.6868207691538831)	(8.0, 0.7382657293725652)	(9.0, 0.8601270522097233)	('>10', 46.910877646443474)	('>50', 10.807402832401847)	('>100', 2.516209067481638)	('>500', 0.6964215159716177)	('>1k', 1.1590575444226374)	('>5k', 0.3047731223138853)	('>10k+', 0.5126696956869298)
BCR-YT_S5_L001_R2_001	(1.0, 13.426492421838333)	(2.0, 3.882218751761357)	(3.0, 1.439894560667326)	(4.0, 0.8216515392236634)	(5.0, 0.5783738904270993)	(6.0, 0.4508783649876007)	(7.0, 0.3797311719645577)	(8.0, 0.36068294933850115)	(9.0, 0.31048014437595345)	('>10', 6.200793021232885)	('>50', 5.3677250140991495)	('>100', 23.395901514307756)	('>500', 12.584945817621254)	('>1k', 16.39059868433055)	('>5k', 0.7614332528971234)	('>10k+', 13.648198900926925)
BCR-YT_S5_L002_R1_001	(1.0, 23.952901761708876)	(2.0, 6.07265280910142)	(3.0, 2.332779528633816)	(4.0, 1.2366027156161072)	(5.0, 0.8265418777592191)	(6.0, 0.686322702674647)	(7.0, 0.786561544289587)	(8.0, 0.817033277821462)	(9.0, 0.9351721527921926)	('>10', 48.12000904858126)	('>50', 9.652373679169585)	('>100', 2.1729284282121393)	('>500', 0.6120840336063541)	('>1k', 1.09334712857042)	('>5k', 0.22708688743724106)	('>10k+', 0.4756024240256877)
BCR-YT_S5_L002_R2_001	(1.0, 14.137589316355765)	(2.0, 3.77847199873374)	(3.0, 1.4188518913449093)	(4.0, 0.8382452128750599)	(5.0, 0.596815129432437)	(6.0, 0.4641905640307158)	(7.0, 0.40425873819371966)	(8.0, 0.34479991982943536)	(9.0, 0.31428806706225226)	('>10', 6.622767808660476)	('>50', 5.658278794539923)	('>100', 23.589053780203376)	('>500', 12.213781266877731)	('>1k', 15.685147815658118)	('>5k', 0.5925237695018113)	('>10k+', 13.34093592670054)
BCR-YT_S5_L003_R1_001	(1.0, 22.990957355325186)	(2.0, 6.290422966727345)	(3.0, 2.453343441057757)	(4.0, 1.2618792881280774)	(5.0, 0.8167094206106084)	(6.0, 0.7087152683585981)	(7.0, 0.7705478638178981)	(8.0, 0.7841542866576774)	(9.0, 0.9712775557982062)	('>10', 48.40622130219932)	('>50', 9.844992200623404)	('>100', 2.204332869557914)	('>500', 0.6479964268541021)	('>1k', 1.1121658124823888)	('>5k', 0.23864169112784386)	('>10k+', 0.497642250673589)
BCR-YT_S5_L003_R2_001	(1.0, 12.567316937970299)	(2.0, 3.9496777929884894)	(3.0, 1.544384633386956)	(4.0, 0.8363462579996662)	(5.0, 0.5730222707447798)	(6.0, 0.4671855310876608)	(7.0, 0.37595464063725764)	(8.0, 0.32083897989542415)	(9.0, 0.29976367591495184)	('>10', 6.496063651266865)	('>50', 5.686401442388187)	('>100', 24.243466926436362)	('>500', 12.577285569147184)	('>1k', 15.670407475663225)	('>5k', 0.6621962657710057)	('>10k+', 13.729687948701724)
BCR-YT_S5_L004_R1_001	(1.0, 23.471425828228327)	(2.0, 6.132745106918841)	(3.0, 2.275609065337712)	(4.0, 1.205646376956958)	(5.0, 0.8782757921291425)	(6.0, 0.7743718004197441)	(7.0, 0.8309321217521846)	(8.0, 0.9056077326766067)	(9.0, 0.9526297519288008)	('>10', 48.69176510761748)	('>50', 9.251598473006467)	('>100', 2.181758683331918)	('>500', 0.6127161616305542)	('>1k', 1.0962433029086573)	('>5k', 0.23921691753803617)	('>10k+', 0.4994577776186302)
BCR-YT_S5_L004_R2_001	(1.0, 13.758657681881278)	(2.0, 3.7037753994914357)	(3.0, 1.4368980900422608)	(4.0, 0.8253803602904227)	(5.0, 0.5809404089640018)	(6.0, 0.47101761517258434)	(7.0, 0.38487164137482627)	(8.0, 0.3431784417429434)	(9.0, 0.2881814760389346)	('>10', 6.763297534106736)	('>50', 5.932986094393291)	('>100', 24.290287472696228)	('>500', 12.107080859960165)	('>1k', 14.970145088261008)	('>5k', 0.575576296045353)	('>10k+', 13.567725539538426)
CSP-AL_S8_L007_R1_001	(1.0, 22.499660980070566)	(2.0, 10.84948340641054)	(3.0, 10.742227358805625)	(4.0, 9.923245624030463)	(5.0, 9.062798433726153)	(6.0, 7.863216345423971)	(7.0, 6.606911188249866)	(8.0, 5.360788499335608)	(9.0, 4.220832090355599)	('>10', 12.430010439928676)	('>50', 0.04900037262663889)	('>100', 0.09938778630836885)	('>500', 0.05495342316541626)	('>1k', 0.15105859719975628)	('>5k', 0.07997157067262614)	('>10k+', 0.006453883689996126)
CSP-AL_S8_L007_R2_001	(1.0, 14.421718311875434)	(2.0, 11.14726884281546)	(3.0, 11.317889038055268)	(4.0, 10.691863175507011)	(5.0, 9.808924332687843)	(6.0, 8.423049180608839)	(7.0, 7.288014469008417)	(8.0, 5.986967210291906)	(9.0, 4.892699629708735)	('>10', 14.285380828216136)	('>50', 0.0030080545648204504)	('>100', 0.012727537016638877)	('>500', 0.004920500498019707)	('>1k', 0.008246078183350741)	('>5k', 0.0)	('>10k+', 1.7073228109621326)
CSP-AT_S7_L007_R1_001	(1.0, 25.274159665575507)	(2.0, 12.729104246400953)	(3.0, 12.135660262990204)	(4.0, 10.8796230114154)	(5.0, 9.299127839375483)	(6.0, 7.533814369679338)	(7.0, 5.993413406516584)	(8.0, 4.640120739236045)	(9.0, 3.4921057807568205)	('>10', 7.699050159625578)	('>50', 0.031606592623979995)	('>100', 0.08297131824018847)	('>500', 0.04047220967426586)	('>1k', 0.13140532454609824)	('>5k', 0.029740078464092955)	('>10k+', 0.0076249948794515415)
CSP-AT_S7_L007_R2_001	(1.0, 17.13900544506506)	(2.0, 13.373248122428299)	(3.0, 12.883976290264206)	(4.0, 11.74967955587604)	(5.0, 10.067113666119617)	(6.0, 8.357981502186357)	(7.0, 6.550450051987103)	(8.0, 5.2456503899331555)	(9.0, 3.899722048897654)	('>10', 9.013755609183747)	('>50', 0.0010039250249416682)	('>100', 0.012452237984522335)	('>500', 0.0023668635340797915)	('>1k', 0.008070555213061053)	('>5k', 0.0)	('>10k+', 1.6955237363021778)
CSP-YL_S6_L007_R1_001	(1.0, 20.45235147852161)	(2.0, 8.629472847628932)	(3.0, 8.860255531734111)	(4.0, 8.606765353567834)	(5.0, 8.170664793346761)	(6.0, 7.262562985959516)	(7.0, 6.533486772261552)	(8.0, 5.7919953532879855)	(9.0, 5.112945190977957)	('>10', 19.99188584955583)	('>50', 0.049881398313238894)	('>100', 0.11884689486444501)	('>500', 0.054305550371476885)	('>1k', 0.13302655109337086)	('>5k', 0.14722950587611527)	('>10k+', 0.08432394263931392)
CSP-YL_S6_L007_R2_001	(1.0, 11.922026011629207)	(2.0, 8.704961155070166)	(3.0, 9.386406709392196)	(4.0, 9.225904643994914)	(5.0, 8.631757599870458)	(6.0, 7.932495927550128)	(7.0, 7.126064490231888)	(8.0, 6.405337998810183)	(9.0, 5.635175019800522)	('>10', 22.914273019685016)	('>50', 0.0029898168253677674)	('>100', 0.010528626774203662)	('>500', 0.003565152955619303)	('>1k', 0.015612338262824873)	('>5k', 0.0)	('>10k+', 2.08290148914729)
CSP-YT_S5_L007_R1_001	(1.0, 19.58568485827706)	(2.0, 7.120943418510225)	(3.0, 7.798111386339224)	(4.0, 7.5544822091660775)	(5.0, 7.534096915752878)	(6.0, 6.85421540935276)	(7.0, 6.312600642128919)	(8.0, 5.83950673263481)	(9.0, 5.079461094234115)	('>10', 25.742503254399452)	('>50', 0.07140871848604663)	('>100', 0.1398153711204632)	('>500', 0.05659367746781686)	('>1k', 0.1925518681898556)	('>5k', 0.11802444394051353)	('>10k+', 0.0)
CSP-YT_S5_L007_R2_001	(1.0, 10.98557573808783)	(2.0, 7.097730157316989)	(3.0, 8.033131946983502)	(4.0, 7.93915995892258)	(5.0, 8.085607738541418)	(6.0, 7.386252074196426)	(7.0, 6.834129389742441)	(8.0, 6.183764321546695)	(9.0, 5.629863721483067)	('>10', 29.64533700081029)	('>50', 0.003990923613974169)	('>100', 0.007264246319485547)	('>500', 0.005006036289367801)	('>1k', 0.004815659455759137)	('>5k', 0.0)	('>10k+', 2.1583710866901784)
GE-AL_S4_L005_R1_001	(1.0, 23.02700670567178)	(2.0, 17.658899139734118)	(3.0, 16.929760729904576)	(4.0, 13.197415793285018)	(5.0, 9.67164222047964)	(6.0, 6.389203002002852)	(7.0, 4.03071907587443)	(8.0, 2.345446330674723)	(9.0, 1.3951010511647475)	('>10', 2.426495514351877)	('>50', 0.2646482644497194)	('>100', 0.6522472770390035)	('>500', 0.3193080485490181)	('>1k', 0.7440363903973868)	('>5k', 0.2943841893104039)	('>10k+', 0.6536862671105604)
GE-AL_S4_L005_R2_001	(1.0, 11.231125424311314)	(2.0, 4.149311840221528)	(3.0, 2.5592797769234026)	(4.0, 1.7516223768918378)	(5.0, 1.3440955435120667)	(6.0, 1.0921710373803266)	(7.0, 0.9528984174468784)	(8.0, 0.7846657792726223)	(9.0, 0.6987237610572922)	('>10', 10.403855933598246)	('>50', 4.882642479743433)	('>100', 11.702277602505628)	('>500', 4.705548921584347)	('>1k', 14.131642463610355)	('>5k', 9.684124664626893)	('>10k+', 19.92601397731428)
GE-AL_S4_L007_R1_001	(1.0, 74.57029069190911)	(2.0, 17.29287276156156)	(3.0, 4.214619577551222)	(4.0, 0.9034052027624815)	(5.0, 0.25886408008301914)	(6.0, 0.10660654214308866)	(7.0, 0.06281193808148987)	(8.0, 0.05287848565423819)	(9.0, 0.052915199082806334)	('>10', 0.6367584421991798)	('>50', 0.2942964146064972)	('>100', 0.6333840813755267)	('>500', 0.2606674830935994)	('>1k', 0.4927113005862915)	('>5k', 0.15171585416315048)	('>10k+', 0.01520194514700078)
GE-AL_S4_L007_R2_001	(1.0, 22.83434154355844)	(2.0, 5.518302165250854)	(3.0, 2.7990014413493665)	(4.0, 2.0914352587070137)	(5.0, 1.59252383202858)	(6.0, 1.265396153572313)	(7.0, 1.0585142017633553)	(8.0, 0.9676136241541375)	(9.0, 0.8612225519694846)	('>10', 12.547890811286042)	('>50', 4.702530869680007)	('>100', 12.790674021679482)	('>500', 8.573563656062746)	('>1k', 18.958609739952237)	('>5k', 1.7804662897812937)	('>10k+', 1.6579138392047859)
GE-AT_S3_L005_R1_001	(1.0, 27.010440080161423)	(2.0, 19.83303524371283)	(3.0, 16.648132493130184)	(4.0, 12.056455011233137)	(5.0, 7.9010980446205785)	(6.0, 4.7086180144754115)	(7.0, 2.6766769771357795)	(8.0, 1.4371688939555083)	(9.0, 0.7908486688177164)	('>10', 1.7804806339991583)	('>50', 0.3110225467457612)	('>100', 0.9215883736241761)	('>500', 0.4475847019836863)	('>1k', 1.2131628467816855)	('>5k', 0.5740660610972946)	('>10k+', 1.6896214085255614)
GE-AT_S3_L005_R2_001	(1.0, 12.32616355864074)	(2.0, 4.197207424288715)	(3.0, 2.4879616222743235)	(4.0, 1.789043402364047)	(5.0, 1.4060892006691952)	(6.0, 1.1266594522576434)	(7.0, 0.9309771242082293)	(8.0, 0.8358295922478476)	(9.0, 0.7437110658633032)	('>10', 10.694365703047055)	('>50', 4.495375253310597)	('>100', 10.901781189036326)	('>500', 4.775823181606859)	('>1k', 14.570580976797459)	('>5k', 8.72125953287479)	('>10k+', 19.997171720512476)
GE-AT_S3_L007_R1_001	(1.0, 83.94381515067934)	(2.0, 9.742685645630717)	(3.0, 1.426766555606232)	(4.0, 0.3042717797402025)	(5.0, 0.1315493530552452)	(6.0, 0.09902913368330533)	(7.0, 0.09022565906133002)	(8.0, 0.06551761565967773)	(9.0, 0.0566518724515286)	('>10', 0.9678709691728999)	('>50', 0.4346008161479185)	('>100', 1.077857312903096)	('>500', 0.4509234943513851)	('>1k', 0.9892160277251743)	('>5k', 0.16891549014873836)	('>10k+', 0.05010312398337092)
GE-AT_S3_L007_R2_001	(1.0, 27.327381381442333)	(2.0, 6.029305377353321)	(3.0, 3.156178664377834)	(4.0, 2.0918600138929637)	(5.0, 1.6541569583363447)	(6.0, 1.2244346657644953)	(7.0, 1.0788939390105663)	(8.0, 0.9555560752547512)	(9.0, 0.8467004273952944)	('>10', 11.965426823039506)	('>50', 5.069799265786515)	('>100', 16.837053447586896)	('>500', 8.143630163676987)	('>1k', 10.289372946674732)	('>5k', 1.2433309974097326)	('>10k+', 2.086918852997653)
GE-YL_S2_L007_R1_001	(1.0, 80.26385621211418)	(2.0, 13.513543475840192)	(3.0, 2.433372010656514)	(4.0, 0.48721482998260457)	(5.0, 0.1652396716158909)	(6.0, 0.08271151295652344)	(7.0, 0.05786251746287349)	(8.0, 0.05193426083810845)	(9.0, 0.051991824260409186)	('>10', 0.7619867081687387)	('>50', 0.37196399844182615)	('>100', 0.8435775042736616)	('>500', 0.29218773053026365)	('>1k', 0.5530353718340717)	('>5k', 0.06952237102403634)	('>10k+', 0.0)
GE-YL_S2_L007_R2_001	(1.0, 24.03214119065638)	(2.0, 5.45121894871467)	(3.0, 2.873919674328563)	(4.0, 2.087342835443044)	(5.0, 1.6183619585170679)	(6.0, 1.3713033057510464)	(7.0, 1.088349637846132)	(8.0, 0.9708557833068111)	(9.0, 0.8815187268929751)	('>10', 12.563846572836097)	('>50', 4.4529722311716045)	('>100', 14.89341106357931)	('>500', 10.266678233156023)	('>1k', 15.276699253237751)	('>5k', 0.6918857868864506)	('>10k+', 1.4794947976762711)
GE-YT_S1_L007_R1_001	(1.0, 80.98286455930756)	(2.0, 11.779631530985279)	(3.0, 1.878275709620764)	(4.0, 0.3720597212970552)	(5.0, 0.15714587319585505)	(6.0, 0.1217433385603918)	(7.0, 0.07632463746874638)	(8.0, 0.06452395808580148)	(9.0, 0.06461811856027637)	('>10', 1.0971949531817782)	('>50', 0.5004685639927157)	('>100', 1.2318493924519653)	('>500', 0.5393354576487261)	('>1k', 0.9296345468048087)	('>5k', 0.16835428968515953)	('>10k+', 0.035975349152725676)
GE-YT_S1_L007_R2_001	(1.0, 28.986421489469034)	(2.0, 6.557785491376862)	(3.0, 3.2084741537628054)	(4.0, 2.0859902086995015)	(5.0, 1.5785609022888656)	(6.0, 1.2271995952140424)	(7.0, 1.062001867562158)	(8.0, 0.9285088319031733)	(9.0, 0.7975909930481248)	('>10', 10.782429850883814)	('>50', 4.707574646653968)	('>100', 16.81171861240133)	('>500', 8.09388930520388)	('>1k', 9.868861457967522)	('>5k', 1.151034400625221)	('>10k+', 2.1519581929397917)
