Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
TCR-AL_S4_L001_R1_001	(1.0, 12.242842097026745)	(2.0, 1.7850102298222754)	(3.0, 0.4992270348626015)	(4.0, 0.2767022048781305)	(5.0, 0.2428385685206977)	(6.0, 0.21470255941256666)	(7.0, 0.21458222195834736)	(8.0, 0.20845288582272592)	(9.0, 0.2367087106966488)	('>10', 28.91177084281341)	('>50', 43.801164031912634)	('>100', 10.949047145863942)	('>500', 0.05797116178956776)	('>1k', 0.0741707662177991)	('>5k', 0.05091772550763407)	('>10k+', 0.23389181289421665)
TCR-AL_S4_L001_R2_001	(1.0, 8.219113549521207)	(2.0, 2.579096290589542)	(3.0, 1.1328110778580904)	(4.0, 0.7001668221232807)	(5.0, 0.5110862205055039)	(6.0, 0.39773754694429525)	(7.0, 0.3142733186610965)	(8.0, 0.3145253107757132)	(9.0, 0.25183909072452)	('>10', 4.894473831837166)	('>50', 3.9686772899602283)	('>100', 18.274382228691525)	('>500', 12.439240887509362)	('>1k', 26.104781847653307)	('>5k', 3.071010790036638)	('>10k+', 16.82678389660851)
TCR-AL_S4_L002_R1_001	(1.0, 12.282491053411967)	(2.0, 1.669711638093213)	(3.0, 0.49514356262905423)	(4.0, 0.3061493526079493)	(5.0, 0.24541999103787848)	(6.0, 0.21957148409617083)	(7.0, 0.19267738528809109)	(8.0, 0.2254174971453107)	(9.0, 0.23836994861666386)	('>10', 33.67376489647897)	('>50', 41.61069342934135)	('>100', 8.45387060614315)	('>500', 0.05312827720131596)	('>1k', 0.06370551807207203)	('>5k', 0.047860782389005416)	('>10k+', 0.22202457744781456)
TCR-AL_S4_L002_R2_001	(1.0, 8.915332987374443)	(2.0, 2.450417556566791)	(3.0, 1.1490099282970732)	(4.0, 0.715303737568781)	(5.0, 0.5464340537192467)	(6.0, 0.4291484342635839)	(7.0, 0.35486098970902086)	(8.0, 0.3105959768909626)	(9.0, 0.27876467545302597)	('>10', 5.329758981437193)	('>50', 4.185622482702532)	('>100', 18.3360218409475)	('>500', 12.515288067876082)	('>1k', 25.32601447016351)	('>5k', 2.7384818738312453)	('>10k+', 16.41894394319899)
TCR-AL_S4_L003_R1_001	(1.0, 10.796001797633016)	(2.0, 1.6178587478367927)	(3.0, 0.5229985502401626)	(4.0, 0.29802206014738736)	(5.0, 0.21669101749299957)	(6.0, 0.25075007061862287)	(7.0, 0.24653424422777298)	(8.0, 0.2482971098237218)	(9.0, 0.2681768552157153)	('>10', 35.47168904668968)	('>50', 41.73581941148844)	('>100', 7.925182448465211)	('>500', 0.06168764589864846)	('>1k', 0.05989476430240042)	('>5k', 0.04931458834486734)	('>10k+', 0.23108164157451833)
TCR-AL_S4_L003_R2_001	(1.0, 7.59634070688882)	(2.0, 2.5212511323118294)	(3.0, 1.173282980848582)	(4.0, 0.6916489955184278)	(5.0, 0.500277288363579)	(6.0, 0.3958386618189577)	(7.0, 0.3446200902525092)	(8.0, 0.3050841691078543)	(9.0, 0.26183668288055406)	('>10', 5.180701194179613)	('>50', 4.264139122851505)	('>100', 19.046560851598304)	('>500', 12.82368747146369)	('>1k', 25.492874230354644)	('>5k', 2.5535668538393517)	('>10k+', 16.848289567721757)
TCR-AL_S4_L004_R1_001	(1.0, 11.40112561032039)	(2.0, 1.5961987533985915)	(3.0, 0.4650766436479478)	(4.0, 0.2909716221561267)	(5.0, 0.25645054129216627)	(6.0, 0.24893258943890595)	(7.0, 0.2533323129723589)	(8.0, 0.2586205844003751)	(9.0, 0.2656701552339365)	('>10', 38.72722664778475)	('>50', 39.19353768815495)	('>100', 6.636136316496438)	('>500', 0.06291837242897076)	('>1k', 0.05978339060580459)	('>5k', 0.04907326817131041)	('>10k+', 0.2349455034970227)
TCR-AL_S4_L004_R2_001	(1.0, 8.691341130939483)	(2.0, 2.4962426506281084)	(3.0, 1.1027072392431916)	(4.0, 0.7230597135201593)	(5.0, 0.5223552821992019)	(6.0, 0.4095918530710461)	(7.0, 0.3625097461501229)	(8.0, 0.3064153291208932)	(9.0, 0.272951075469578)	('>10', 5.403606169287459)	('>50', 4.454965316622575)	('>100', 19.29363896770961)	('>500', 12.888595583236611)	('>1k', 24.216545621303524)	('>5k', 2.1712119096801836)	('>10k+', 16.684262411818242)
TCR-AT_S3_L001_R1_001	(1.0, 16.940692116916516)	(2.0, 3.2528774257162327)	(3.0, 0.9223812966218797)	(4.0, 0.3532804045572528)	(5.0, 0.25790295157677273)	(6.0, 0.19941035029243803)	(7.0, 0.19652691912987633)	(8.0, 0.16693286400220878)	(9.0, 0.15467548356302538)	('>10', 9.539963901129214)	('>50', 34.322284655872195)	('>100', 32.49250846437752)	('>500', 0.3641883789721109)	('>1k', 0.5462234039322698)	('>5k', 0.13404504260431604)	('>10k+', 0.15610634073626756)
TCR-AT_S3_L001_R2_001	(1.0, 8.877050268488954)	(2.0, 2.7337775965838405)	(3.0, 1.1506683729210254)	(4.0, 0.6887239891728766)	(5.0, 0.4933296726160716)	(6.0, 0.3735704365406233)	(7.0, 0.3223357371818022)	(8.0, 0.29005595197419365)	(9.0, 0.25193921186026835)	('>10', 5.599679790380691)	('>50', 4.823287801419736)	('>100', 22.91611695476425)	('>500', 12.840127769257975)	('>1k', 17.2116391616462)	('>5k', 2.052662956233219)	('>10k+', 19.375034328958268)
TCR-AT_S3_L002_R1_001	(1.0, 17.374232670210585)	(2.0, 3.1264336862697957)	(3.0, 0.7557911479617323)	(4.0, 0.35370895251993384)	(5.0, 0.2680270746746031)	(6.0, 0.21540121338745177)	(7.0, 0.1669245826298076)	(8.0, 0.16613215435700812)	(9.0, 0.17234651859265243)	('>10', 11.161064947153587)	('>50', 37.54118385753992)	('>100', 27.637939232059416)	('>500', 0.3234089806484693)	('>1k', 0.4965736218764159)	('>5k', 0.09430956062241962)	('>10k+', 0.1465217994961187)
TCR-AT_S3_L002_R2_001	(1.0, 9.944325004141886)	(2.0, 2.6757511954422997)	(3.0, 1.0896025131701919)	(4.0, 0.6693208299842826)	(5.0, 0.4992857986869414)	(6.0, 0.41846621246871923)	(7.0, 0.34691351043795987)	(8.0, 0.3078286923929282)	(9.0, 0.2693194826114485)	('>10', 6.068148024818935)	('>50', 5.132121795836468)	('>100', 22.812016733139355)	('>500', 12.699706536338699)	('>1k', 16.236878818845877)	('>5k', 1.9429097930012684)	('>10k+', 18.887405058682685)
TCR-AT_S3_L003_R1_001	(1.0, 16.013273331415746)	(2.0, 3.27990178153433)	(3.0, 0.9199707420755059)	(4.0, 0.3749190137079543)	(5.0, 0.2634617371811065)	(6.0, 0.2217842795023675)	(7.0, 0.19105274081989712)	(8.0, 0.16686392618760718)	(9.0, 0.19449748071743259)	('>10', 11.805390822410525)	('>50', 39.02405592206517)	('>100', 26.440669975576796)	('>500', 0.33388272830790994)	('>1k', 0.554865122600386)	('>5k', 0.06072834266541734)	('>10k+', 0.15468205323178252)
TCR-AT_S3_L003_R2_001	(1.0, 8.382125340493522)	(2.0, 2.7830226516968866)	(3.0, 1.1765778875669584)	(4.0, 0.6530903408570996)	(5.0, 0.4668186190245367)	(6.0, 0.3764627220204162)	(7.0, 0.3061393633091407)	(8.0, 0.281718938749603)	(9.0, 0.2594233067668786)	('>10', 5.9767573623193515)	('>50', 5.270570167340567)	('>100', 23.70349338205942)	('>500', 12.989808377510451)	('>1k', 15.993335827787641)	('>5k', 1.9653076248714336)	('>10k+', 19.415348087626047)
TCR-AT_S3_L004_R1_001	(1.0, 16.515850051427197)	(2.0, 2.9119770095990276)	(3.0, 0.7771218058122465)	(4.0, 0.3585668861256101)	(5.0, 0.3011899486705398)	(6.0, 0.21447527314416537)	(7.0, 0.20349423012387874)	(8.0, 0.1763531943479338)	(9.0, 0.19112626462025695)	('>10', 14.358757535452218)	('>50', 41.5300678615595)	('>100', 21.411982662424116)	('>500', 0.32977822068505325)	('>1k', 0.5021301578573669)	('>5k', 0.2171288981510354)	('>10k+', 0.0)
TCR-AT_S3_L004_R2_001	(1.0, 9.577067096866228)	(2.0, 2.6028352669357115)	(3.0, 1.107000705267979)	(4.0, 0.655573936285558)	(5.0, 0.49718446376035197)	(6.0, 0.392664124852755)	(7.0, 0.33380960501571855)	(8.0, 0.32085515082766614)	(9.0, 0.28220368315427713)	('>10', 6.461902506881377)	('>50', 5.538424461148567)	('>100', 24.121385700774116)	('>500', 12.464214148171624)	('>1k', 14.163273554959652)	('>5k', 1.9240734013831349)	('>10k+', 19.55753219371526)
TCR-YL_S2_L001_R1_001	(1.0, 10.40380944847341)	(2.0, 1.7464581475988057)	(3.0, 0.51418300415945)	(4.0, 0.24365136265674936)	(5.0, 0.17115200523680335)	(6.0, 0.16408668095424114)	(7.0, 0.1619944899785937)	(8.0, 0.14398506414420234)	(9.0, 0.14015062168653503)	('>10', 12.026751501445684)	('>50', 40.35953369532964)	('>100', 33.47281937502819)	('>500', 0.05169667892155474)	('>1k', 0.12823705862460755)	('>5k', 0.0)	('>10k+', 0.2714908657615899)
TCR-YL_S2_L001_R2_001	(1.0, 6.6010999623097355)	(2.0, 2.216940210979689)	(3.0, 1.0273515017784562)	(4.0, 0.6442861173221238)	(5.0, 0.47041714854618755)	(6.0, 0.380145534247688)	(7.0, 0.31269368560115224)	(8.0, 0.25825167970801144)	(9.0, 0.2430461360405967)	('>10', 4.068255481149241)	('>50', 2.9846164031342037)	('>100', 15.044090527336937)	('>500', 10.88480369671562)	('>1k', 29.737438068410547)	('>5k', 6.202752642181674)	('>10k+', 18.92381120453819)
TCR-YL_S2_L002_R1_001	(1.0, 10.344603066794633)	(2.0, 1.7374999053837967)	(3.0, 0.47035524873273693)	(4.0, 0.24624241915930453)	(5.0, 0.18808777339886884)	(6.0, 0.16330908832886895)	(7.0, 0.15612609584783613)	(8.0, 0.14890547123399167)	(9.0, 0.15691447261661015)	('>10', 14.11738595998595)	('>50', 43.026186398499036)	('>100', 28.82957186413277)	('>500', 0.06812868986764557)	('>1k', 0.08842423437584306)	('>5k', 0.0)	('>10k+', 0.2582593116420842)
TCR-YL_S2_L002_R2_001	(1.0, 7.182362183054253)	(2.0, 2.1945263366839725)	(3.0, 1.025883265383466)	(4.0, 0.7023602327175588)	(5.0, 0.5216393593375226)	(6.0, 0.3996241403355763)	(7.0, 0.33613903395581773)	(8.0, 0.28713979182729643)	(9.0, 0.24488892653737634)	('>10', 4.4486494642362695)	('>50', 3.1901176052658418)	('>100', 15.189328006732133)	('>500', 11.018945019264505)	('>1k', 29.404316731601703)	('>5k', 5.621394027164146)	('>10k+', 18.232685875902582)
TCR-YL_S2_L003_R1_001	(1.0, 9.60172239543311)	(2.0, 1.716635732206635)	(3.0, 0.4520519077710436)	(4.0, 0.24656024835845117)	(5.0, 0.19395117606031637)	(6.0, 0.18863130240772208)	(7.0, 0.17323811062113914)	(8.0, 0.182095635600854)	(9.0, 0.1388319418918541)	('>10', 14.828664430562796)	('>50', 44.29931070333978)	('>100', 27.55446929825231)	('>500', 0.07495281399344698)	('>1k', 0.08241865225059818)	('>5k', 0.0)	('>10k+', 0.2664656512500474)
TCR-YL_S2_L003_R2_001	(1.0, 6.070954407909427)	(2.0, 2.2272377490320188)	(3.0, 1.0864083386903816)	(4.0, 0.6879414358864662)	(5.0, 0.500223731442307)	(6.0, 0.3917348966962033)	(7.0, 0.31746713677229466)	(8.0, 0.26783361917445087)	(9.0, 0.2410229109543857)	('>10', 4.225203981253984)	('>50', 3.163253691182459)	('>100', 15.678757051685164)	('>500', 11.291951746179892)	('>1k', 29.954893426223393)	('>5k', 5.201331298698701)	('>10k+', 18.693784578218512)
TCR-YL_S2_L004_R1_001	(1.0, 9.757072899436666)	(2.0, 1.6065459186841209)	(3.0, 0.4516389244533287)	(4.0, 0.25623337169433413)	(5.0, 0.1815432353411562)	(6.0, 0.18373375684134577)	(7.0, 0.17843085125986935)	(8.0, 0.1480088553707396)	(9.0, 0.1559855629131487)	('>10', 16.5497154490708)	('>50', 45.56045640377679)	('>100', 24.553581436012884)	('>500', 0.06894190730800527)	('>1k', 0.07972079317160302)	('>5k', 0.04642471265930223)	('>10k+', 0.221965922005878)
TCR-YL_S2_L004_R2_001	(1.0, 7.071361150397603)	(2.0, 2.182593997120951)	(3.0, 1.0534827991126081)	(4.0, 0.676752370608227)	(5.0, 0.4967924043264899)	(6.0, 0.382551642813018)	(7.0, 0.330426542270926)	(8.0, 0.2858557323940413)	(9.0, 0.24833484827447705)	('>10', 4.469419582831563)	('>50', 3.403352840604115)	('>100', 16.042851900170987)	('>500', 11.511136430001274)	('>1k', 29.124663308195082)	('>5k', 4.4338768268079845)	('>10k+', 18.286547624070643)
TCR-YT_S1_L001_R1_001	(1.0, 14.402022899370111)	(2.0, 3.6692253910695665)	(3.0, 1.1869375039580816)	(4.0, 0.4826817854347888)	(5.0, 0.25934495779405403)	(6.0, 0.1862296332492111)	(7.0, 0.14796937365553872)	(8.0, 0.12851788144638143)	(9.0, 0.10936262115578364)	('>10', 2.876610773098912)	('>50', 4.027675355316795)	('>100', 68.93884411672457)	('>500', 2.660032866633568)	('>1k', 0.5775490334295876)	('>5k', 0.2573133577274395)	('>10k+', 0.08968244993561203)
TCR-YT_S1_L001_R2_001	(1.0, 8.376586436615927)	(2.0, 2.7199824504705714)	(3.0, 1.164559273279941)	(4.0, 0.6914257737217435)	(5.0, 0.4872258846719494)	(6.0, 0.39121420281564984)	(7.0, 0.34852702111638156)	(8.0, 0.2920552557633685)	(9.0, 0.2528317807222099)	('>10', 5.120263752032351)	('>50', 4.156722743571856)	('>100', 19.779868825266394)	('>500', 12.857248390532764)	('>1k', 20.66780788203018)	('>5k', 1.8638653208467846)	('>10k+', 20.829815006541942)
TCR-YT_S1_L002_R1_001	(1.0, 15.377686609880339)	(2.0, 3.565126966804323)	(3.0, 1.1679723055114835)	(4.0, 0.43505600727979143)	(5.0, 0.24613789109463471)	(6.0, 0.17642449361506243)	(7.0, 0.16505400876854448)	(8.0, 0.13516547598453604)	(9.0, 0.12178874716269833)	('>10', 3.0565926624801723)	('>50', 4.599684927303007)	('>100', 68.10038980385482)	('>500', 2.0052674136463375)	('>1k', 0.5424412151398359)	('>5k', 0.21965455412113213)	('>10k+', 0.08555691735321891)
TCR-YT_S1_L002_R2_001	(1.0, 9.415653151245774)	(2.0, 2.6542618071313377)	(3.0, 1.1450447731560518)	(4.0, 0.7067829389210393)	(5.0, 0.539785022819802)	(6.0, 0.42356954134676034)	(7.0, 0.3621607441501357)	(8.0, 0.29257536026919323)	(9.0, 0.30222151599854247)	('>10', 5.544799500826457)	('>50', 4.385530691980149)	('>100', 19.623218734728574)	('>500', 12.678460586918725)	('>1k', 19.741386104672767)	('>5k', 1.8620195238024995)	('>10k+', 20.322530002032206)
TCR-YT_S1_L003_R1_001	(1.0, 13.601646621717014)	(2.0, 3.6880315410224114)	(3.0, 1.1719992977392841)	(4.0, 0.4496059661394044)	(5.0, 0.25086632463833475)	(6.0, 0.17808642859573506)	(7.0, 0.15273896025613998)	(8.0, 0.13116048982168602)	(9.0, 0.12734696034566684)	('>10', 3.1224425332348296)	('>50', 4.923608599463406)	('>100', 69.4391696549928)	('>500', 1.8941917532462982)	('>1k', 0.5553964768294369)	('>5k', 0.22562748160438198)	('>10k+', 0.08808091035314008)
TCR-YT_S1_L003_R2_001	(1.0, 7.8410032257838385)	(2.0, 2.7265718828075647)	(3.0, 1.2001844289645927)	(4.0, 0.7073725507568526)	(5.0, 0.5031331939221242)	(6.0, 0.4024551506047068)	(7.0, 0.3238965997745612)	(8.0, 0.2947084237395748)	(9.0, 0.2518057094412954)	('>10', 5.476641975686692)	('>50', 4.397070759348562)	('>100', 20.467657658188426)	('>500', 13.158991750993371)	('>1k', 19.4527430513969)	('>5k', 1.9082776244668476)	('>10k+', 20.887486014124107)
TCR-YT_S1_L004_R1_001	(1.0, 14.774121854643802)	(2.0, 3.342902125434578)	(3.0, 1.0309013706961574)	(4.0, 0.4216311267979872)	(5.0, 0.22670748848223166)	(6.0, 0.1804930539706552)	(7.0, 0.14140805614254723)	(8.0, 0.13972541698640475)	(9.0, 0.12128426207117438)	('>10', 3.1464001109924213)	('>50', 5.189878364516671)	('>100', 68.80767159445553)	('>500', 1.6638377044443904)	('>1k', 0.5403337240746964)	('>5k', 0.1840970043041134)	('>10k+', 0.08860674198662678)
TCR-YT_S1_L004_R2_001	(1.0, 8.992077556970782)	(2.0, 2.6255500581349396)	(3.0, 1.12590012294366)	(4.0, 0.7009691315221575)	(5.0, 0.5380424270422699)	(6.0, 0.42036324151011034)	(7.0, 0.36812618015522997)	(8.0, 0.3090868042438643)	(9.0, 0.26425388846965003)	('>10', 5.705778087660348)	('>50', 4.55054355218885)	('>100', 20.49704526716948)	('>500', 12.766382843322166)	('>1k', 18.50646290266461)	('>5k', 1.784160568376533)	('>10k+', 20.845257367625308)
