Martian Runtime - v4.0.13
Serving UI at http://c0603a-s10.ufhpc:34941?auth=gpcp3Nb9T7-K7Pt_js3-p1M9hdYTHnP8XQDl4lkl-ts

Running preflight checks (please wait)...
2025-08-21 23:48:47 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.CHECK_SINGLE_BEAM_MODE
2025-08-21 23:48:47 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.CHECK_SINGLE_BEAM_MODE.fork0.chnk0.main
2025-08-21 23:48:48 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.DETECT_CHEMISTRY.fork0
2025-08-21 23:48:48 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.DETECT_CHEMISTRY.fork0.chnk0.main
2025-08-21 23:48:48 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.DETECT_CHEMISTRY.fork1
2025-08-21 23:48:48 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.DETECT_CHEMISTRY.fork1.chnk0.main
2025-08-21 23:48:49 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.CHECK_SINGLE_BEAM_MODE
2025-08-21 23:48:49 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.CELL_ANNOTATION_PREFLIGHT
2025-08-21 23:48:50 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.FULL_COUNT_INPUTS.WRITE_GENE_INDEX
2025-08-21 23:48:55 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.DETECT_CHEMISTRY.fork1
2025-08-21 23:48:57 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.DETECT_CHEMISTRY.fork0
2025-08-21 23:48:57 [runtime] (complete)        ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.DETECT_CHEMISTRY.fork1
2025-08-21 23:48:57 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.EXTRACT_SINGLE_CHEMISTRY.fork0
